Movie_Title,ListOfCertificate
JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1,
Robotech: The Shadow Chronicles,"PG,TV-PG"
Persecuted,PG-13
Alienator,R
Kenau,
Shadow Builder,R
Legend of Deification,TV-PG
V avguste 44-go,
Like a Dragon,
Ghost Squad,
Kill Order,
Mobile Suit Gundam: Char's Counterattack,
Butcher Boys,R
Sailor Moon SuperS: The Movie: Black Dream Hole,TV-14
Mayday,R
Antikiller,
Gamera vs. Zigra,
Avenging Angel,R
Mafia: Chapter 1,
Sivappu Manjal Pachai,
Death House,R
The Closed Circuit,
China Gate,
Dead Sushi,
No Code of Conduct,R
Fighter,
The Brain from Planet Arous,"Approved,Passed"
If You Meet Sartana... Pray for Your Death,
Gamera vs. Viras,
Kamikaze,TV-14
Yagyu Clan Conspiracy,
OSS 117: From Africa with Love,
Swordsman III: The East Is Red,
The Loner,
The Mysterians,TV-Y7
Detective Chinatown 3,R
Zone Troopers,PG
Storm Catcher,R
Dhamki,
The Throwaways,
Motorpsycho!,
Aaru,
Captains of the Clouds,Approved
Disco Godfather,R
Eden of the East the Movie I: The King of Eden,
Ekskursante,
The Second Coming of Christ,
Black Belt,
Detective Conan: Full Score of Fear,
I Witness,R
The McKenzie Break,"GP,PG"
Puthan Panam,
Battalion,
The New One-Armed Swordsman,R
Avalanche Express,"PG,Approved"
Do Lafzon Ki Kahani,
Battlefield Baseball,
Mad Mission,
Let's Bring Our Heroes Home,
Aithe,
Fight Club: Members Only,
Fate/Stay Night: Heaven's Feel - III. Spring Song,TV-MA
Diplomatic Siege,R
Women of Mafia,
Hell Up in Harlem,R
Magellan,
Revolutionary Girl Utena: The Movie,
Triple Tap,
The Other Side,R
The Legend of Muay Thai: 9 Satra,
Simha,
Brown of Harvard,Passed
Chorabali,
212 Warrior,TV-14
Montana,
2047: Sights of Death,TV-14
The Freediver,
Rumble in Hong Kong,TV-14
Lurking Fear,R
Spare Parts,
The Fourth Phase,
Christopher Strong,"Approved,TV-PG,Passed"
Shocking Dark,
Triad Underworld,R
Kidnapped,"Approved,PG"
Promedio Rojo 1,
The Flying Guillotine,
Kolaigaran,
Fighting Elegy,
Kotigobba 2,
Mardock Scramble: The First Compression,TV-MA
Kaashmora,
Secret of the Incas,Approved
Policegiri,
Street Law,R
The Last Man,R
State Property: Blood on the Streets,R
The Hunters,Approved
Agent for H.A.R.M.,"Approved,Passed"
Well,
Sajjan Singh Rangroot,
Trauma,
Velipadinte Pusthakam,
Savyasachi,
Pressed,
Pistol Opera,
Creature,
Pokémon the Movie: Diancie and the Cocoon of Destruction,TV-Y7
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,"Approved,Passed"
American Shaolin,PG-13
One Piece: Chopper's Kingdom in the Strange Animal Island,
Hum Kisi Se Kum Nahin,
Blind Woman's Curse,
Nine Deaths of the Ninja,R
A Yank in the R.A.F.,"TV-G,Approved"
Robot Awakening,
City Limits,PG-13
Pokémon the Movie: Kyurem vs. the Sword of Justice,TV-Y7
Jailbreak,TV-MA
Detective Conan: The Eleventh Striker,
Scorcher,R
Swathanthryam Ardharathriyil,
Phool Aur Kaante,
Cat Run 2,R
Vu Án Tiên Gia,
Zatoichi and the Chess Expert,
Tu Chor Main Sipahi,
Sleeping Dogs,
Brice 3,TV-14
Moving Parts,
Stone,
Eat the Rich,R
Message from Space,PG
Døden på Oslo S,
Tube,R
Love and a Bullet,R
Thám Tử Lừng Danh Conan: Kho Báu Dưới Đáy Đại Dương,
Check,
The Laws of the Border,TV-MA
Line Walker,
"Live Like a Cop, Die Like a Man",
Tarkan and the Silver Saddle,
Mr. Natwarlal,
Lancaster Skies,
Macon County Line,R
Saudagar,
Boogie,
Level Up,
Mulshi Pattern,
Run,
Wild Geese II,R
Yamada: Samurai of Ayothaya,
Stalin,
Essex Boys: Law of Survival,
Rogue Warfare,R
Diamond 13,
Space Raiders,PG
Dirt,PG-13
The Last of the Finest,R
Picasso Trigger,R
The Guillotines,R
Santo vs. the Vampire Women,
Can Feda,
Bulletproof,R
The Bad Guys: The Movie,
The Loser Takes All,
The Show Must Go On,G
Re: Born,
Stewardess School,"R,TV-14"
You Can't Win 'Em All,"PG,GP"
Hindsight,
Mythica: The Godslayer,
Shamus,PG
Iron Eagle on the Attack,PG-13
Balu,
Disco Raja,
Chain Lightning,Approved
The Red Siren,R
Darby's Rangers,Approved
Prisoners of the Sun,TV-14
Torrid Zone,"Approved,TV-PG,Passed"
Detective Conan: Sunflowers of Inferno,
Broken,
18am Padi,
Typhoon,R
Mass,
Beneath Loch Ness,PG-13
Sucker Punch,R
The Secret Agent Club,PG
Jayantabhai Ki Luv Story,
Onechanbara: The Movie,
Rise of the Dinosaurs,R
Heatseeker,R
Ready,
The Bunker,
Lumberjack Man,R
The Guns of Fort Petticoat,"Approved,TV-PG"
L.E.T.H.A.L. Ladies: Return to Savage Beach,R
Aadi,
Baantjer het Begin,
El Chicano,R
City Rats,
Battal Gazi'nin Intikami,
Walking Tall Part II,"PG,TV-PG"
Midday Event: Trace of Blood,
Raw Justice,R
Road to Hell,TV-MA
Arizona,"Approved,Passed,TV-G"
Our Own,
Hell Hath No Fury,R
Let's Get Harry,R
The Stolen,TV-14
Proxy War,
Dhenikaina Ready,
Turn It Up,R
Royal Warriors,R
Loyalty & Respect,
Knockabout,PG-13
Adventures of Captain Marvel,"Approved,Passed"
The Garden of Sinners: Oblivion Recording,
Redline,R
Du bei dao wang,R
D-Day: Battle of Omaha Beach,
Excessive Force,R
The Brave,TV-MA
The Big I Am,R
As the Light Goes Out,
Dangerously Close,R
Cyber Tracker,R
Death Has Blue Eyes,
Tarkan: Güçlü Kahraman,
Tiyaan,
Elimination Game,TV-MA
Snowflake,
Kara Murat: Fatih'in Fermani,
The Foundation of Criminal Excellence,
Ambulance,
City on Fire,R
Soulkeeper,R
Project A-Ko,
Bear,R
The Spy,
One Tough Cop,R
North Star,R
River of Death,R
Naadodigal,
The Thousand Faces of Dunjia,
Crimean,
Blastfighter,
Shake Hands with the Devil,
Caught in the Crossfire,R
Digimon Adventure: Last Evolution Kizuna,TV-G
WXIII: Patlabor the Movie 3,R
Het Tweede Gelaat,
Red Riding Hood,PG
Big Kill,R
Sweeney!,
Pokémon the Movie: Volcanion and the Mechanical Marvel,"PG,TV-Y7"
Return of the Ghostbusters,PG-13
Trouble Man,"R,TV-MA,TV-14"
Get the Girl,R
Sainik,
Raja Vikramarka,
Rudraksh,
Space Amoeba,G
The Naked Face,R
Written Off,
Yevanda,
Agent Red,R
The House Next Door: Meet the Blacks 2,R
Female Fight Squad,R
Hot Tamale,R
Corrupt,R
Krishnarjuna Yudham,
The Chairman,"M/PG,M"
Political Rowdy,
China O'Brien,R
Brass Target,PG
Guns,R
Extinction,
Thirgusomeese,
The Taint,
Mercenaries,R
Golden Years,
Reset,
Rakhi: Highly Inflammable,
Extraction,
Spark: A Space Tail,PG
Sisters in Arms,
Maa Tujhhe Salaam,
Perfect Hideout,
The Big Racket,
Assassination Attempt,
Naya Daur,
The Soldier,R
In God's Hands,PG-13
Mr. Billion,"PG,TV-MA"
Shootfighter: Fight to the Death,R
Detective Conan: The Sniper from Another Dimension,
Baa Baaa Black Sheep,
Asura,
Rey Gitano,
The North Avenue Irregulars,G
Von Richthofen and Brown,"GP,PG-13"
Gamera vs. Jiger,
Eden of the East the Movie II: Paradise Lost,TV-MA
Eddie Macon's Run,PG
Bloodsport: The Dark Kumite,R
Blood Brothers,R
Last Rites,R
Hidden Agenda,R
BraveStarr: The Legend,PG
Helix,
Hunting Emma,TV-14
Zatoichi and the Doomed Man,
Cyborg Cop,R
Rollin' with the Nines,
Saahasam Swaasaga Saagipo,
TNT Jackson,R
Helios,
Goodbye Pork Pie,R
"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid",R
Black Scorpion,R
Alamo Bay,R
Ghulam-E-Musthafa,
Pokkiri Raja,
Detective Conan: Private Eye in the Distant Sea,
Chor Machaaye Shor,
Nightfall,
M. Kumaran S/O Mahalakshmi,
The Third Day,
The Resistance,"PG,TV-PG"
Black Site,
Evolver,R
Dragon Ball: The Magic Begins,
Bloody Mallory,R
Shooters,R
Tiger,
Do or Die,R
Pit Fighter,R
King,
Robot Wars,PG
Cemetery Gates,
Hanzo the Razor: The Snare,
Divergence,R
Icebreaker,PG-13
Bombay to Goa,
Hide,R
Peace Hotel,
Banjo,
Why Me?,R
Norwegian Ninja,
Dune Drifter,
Hong Kong 97,R
Prison on Fire II,TV-MA
The Democratic Terrorist,
One Tough Bastard,R
The Point Men,R
Gunned Down,R
Mugamoodi,
Relentless Justice,
The Unseen,PG-13
Unbound,
Monster,
Naksha,
El Condor,"R,TV-14"
My Entire High School Sinking Into the Sea,PG-13
Gang of Roses,R
Ravana Lanka,
The 25th Reich,
Blind Man,
JoJo's Bizarre Adventure: Phantom Blood,
Beyond Hypothermia,R
The Perfect Sleep,R
The White Dragon,PG-13
The Incredible Petrified World,"Approved,Passed"
The Seventh Curse,
Don,
Tepepa,R
The Debt Collector,
Mobile Suit Gundam: Hathaway,TV-14
Quick,
Invasion Planet Earth,
Residue,
Super Capers: The Origins of Ed and the Missing Bullion,PG
Mumbai Express,
A Hero Never Dies,
Scarfies,R
The Gift,
Peraanmai,
Geronimo,"Approved,TV-PG"
The Conquest of Siberia,TV-14
Fatal Fury: The Motion Picture,
Fists of Legend,
The Horsemen,"PG,GP"
Bloodfist,R
Assault on a Queen,TV-PG
Dead Trigger,R
Snake Eater,R
Beyond Valkyrie: Dawn of the 4th Reich,R
Puppet on a Chain,PG
Defiance,PG
"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",TV-PG
Hangmen,R
Zatoichi's Vengeance,
The Fatal Encounter,PG-13
The Demolitionist,R
Johnny,
Amphibious Creature of the Deep,R
Hareket Sekiz,
The Secret Invasion,Approved
Cabo Blanco,R
Women of the Prehistoric Planet,TV-14
Cu mâinile curate,
A Better Tomorrow,R
Sahasam,
Taeter City,
Hard Hunted,R
Dudes & Dragons,
Khoon Bhari Maang,
Shark Hunter,R
The Sword with No Name,
Five Shaolin Masters,R
Double Barrel,
Türkler Geliyor: Adaletin Kilici,
Ejen Ali: The Movie,TV-G
The Malay Chronicles: Bloodlines,R
Sinister Squad,
Enter the Phoenix,
80 Minutes,
Death Fighter,
Phantom Detective,PG-13
Rocky Mountain,"Approved,TV-PG,Passed"
The Prize of Peril,
Triad Wars,R
Diablo. The race for everything,
Mad Mission Part 2: Aces Go Places,
Hitokiri,
Concrete shark,
The Wedding Party,
Beast Cops,TV-MA
Segfault,R
Kathakali,
Satellite Shankar,
Robowar,
Saga of Tanya the Evil - The Movie,
Spitfire,R
Satan's Sadists,R
The Written Off Return,
The Code,R
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,TV-MA
Deep Dark Canyon,R
Saint Seiya: The Heated Battle of the Gods,
Sendhoorapandi,
Being Evel,TV-MA
Brigada: Naslednik,
Kabaneri of the Iron Fortress: The Battle of Unato,
Hellhole Women,
Immortal Fist: The Legend of Wing Chun,
Aetbaar,
Larceny,
The Bodyguard 2,
Tanks for Stalin,
A Chinese Tall Story,
Ignition,R
Digimon Adventure Tri. Part 3: Confession,
Shadow: Dead Riot,R
Arima Nambi,
Black Site Delta,
In Her Line of Fire,R
The Replacement,
Bomb the System,R
The Car: Road to Revenge,
Addio fottuti musi verdi,
Honky Tonk Freeway,PG
Young and Dangerous 3,
Paltan,
Remorques,
LEGO DC Batman: Family Matters,
The Boxer from Shantung,R
Extreme Dating,R
Arctic Blue,R
Out of Time,
Randy Rides Alone,"Approved,Passed"
The Wise Guys,G
Street Mobster,
"Tick, Tick, Tick",G
Amar Akbar Anthony,
Revelation,PG-13
A Cry in the Wild,PG
The Adventures of Quentin Durward,Approved
Heaven and Earth,PG-13
Sneakers,
Convergence,
Seven Ways from Sundown,"Approved,TV-PG,Passed"
Gaganam,
The Girl from Rio,R
Express Raja,
My Father Die,
Keerthi Chakra,
Midnight Chronicles,
Walkaway Joe,
Sky Riders,PG
Shola Aur Shabnam,
Galaxis,R
Stag,R
Dead Cert,
Dishkiyaoon,
Compadres,R
Isolation,R
The Doberman Gang,PG
Dev,
Lautlos,
Dead Heist,
Malaal,
Skeeter,R
Malkoçoglu,
Zatoichi's Pilgrimage,
White Hell of Pitz Palu,
Fireball,R
Stealth Fighter,R
The Adventures of Bullwhip Griffin,"Approved,TV-PG"
Prince Nezha's Triumph Against Dragon King,
Blood Brother,R
The Neptune Factor,G
Bartkowiak,TV-MA
Zombie Tidal Wave,TV-14
Chandu the Magician,"Approved,Passed,TV-G"
Shark,"PG,M"
Cyclone,R
"Fire, Ice & Dynamite",PG
World's End,
Bachchan,
Bandido!,"Approved,Passed"
Final Episode,
The Super Cops,R
Jake Speed,PG
Report to the Commissioner,PG
Swindle,R
Time Runner,R
Battle Force,R
Bad Boy,
Sagar Alias Jackie: Reloaded,
A Dandy in Aspic,Approved
Satya 2,
Detective K: Secret of Virtuous Widow,
Code Red,
Fire of Conscience,R
The Mole Song: Undercover Agent Reiji,
Action,
Offroad,
Final Chapter: Walking Tall,R
Deuces,TV-MA
PAY: Tire-d'Elles,
Dick Tracy's Dilemma,"TV-G,Approved,TV-PG"
Ecstasy of the Angels,
Dracula's Curse,R
Project Ghazi,
Captain Sindbad,"Approved,TV-PG,Passed,G"
Rishtey,
Ozark Sharks,TV-14
Negar,
Shanghai Joe,R
From Hell to Texas,"Approved,TV-PG,Passed"
S*P*Y*S,PG
Tattooed Life,
The Time Guardian,PG
Nibunan,
The Squaw Man,
Future Force,R
Zatoichi in Desperation,
Jalaibee,
Attrition,R
Touch Chesi Chudu,
Trader Horn,"Approved,Passed"
The Phantom Creeps,Approved
Expect the Unexpected,
Just Heroes,
Switch,
Body Armour,R
Flash Gordon's Trip to Mars,Approved
Okay Madam,
Gudumba Shankar,
Tyrannosaurus Azteca,
Uu Kodathara Ulikki Padathara,
The Founding of an Army,
The Killer Meteors,PG-13
Caravans,PG
The Chain Reaction,
Captain America,"Approved,Passed"
Moon Warriors,
The Girl Is in Trouble,
The Alien Girl,R
Once Upon a Time in China V,
She-Devils on Wheels,
The Mark,
Bounty Hunters,R
Red Shadow: Akakage,
New World Disorder,R
Mad Monkey Kung Fu,R
Flying Virus,R
Electra,R
Musafir,
The Race,
Vampire Cleanup Department,
Munna,
Zombies of Mora Tau,"Approved,Passed"
Chakravarthy,
Death Before Dishonor,R
Treasure of the Yankee Zephyr,PG
Sztos,
Bhaijaan Elo Re,
West of the Divide,"Approved,Passed"
Fireman,
Dog Day,
Courage,
My Friend Flicka,"Approved,Passed"
80 Millions,
The Vengeance of Fu Manchu,
Kick 2,
Nữ Cảnh Sát Chìm,
Zatoichi's Conspiracy,
Dear Inspector,PG
Texas Terror,"Approved,TV-PG,Passed"
Ragada,
Street Racer,
Gunhed,"TV-PG,TV-14"
AWOL-72,R
Major Chandrakanth,
The New Protocol,
"I Am Sartana, Your Angel of Death",
Comic 8,
The Doll Squad,"PG,R"
Newsmakers,
Roop Ki Rani Choron Ka Raja,
Saint Seiya: Warriors of the Final Holy Battle,
No Man's Land,PG-13
Aa Dekhen Zara,
Gang Land,R
Hunter,TV-MA
The Tracker,R
Dance to Death,
Bounty Hunters,PG-13
Showdown at Area 51,R
The Dallas Connection,"R,TV-MA"
Tom Sawyer & Huckleberry Finn,PG-13
Wu Dang,
Maharaja Gemunu,
Crossing Point,R
War Raiders,
The Ghost,
Jaya Janaki Nayaka,
Road to Hell,
Vigilante Force,PG
King of the Rocket Men,"Approved,Passed"
Tiger Cage II,TV-14
The Cave,
Elaan,
The Dead Undead,R
Behind Enemy Lines,R
The Last Hunter,
The Immortals,
Into the Sun,R
Insaaf: The Final Justice,
Wolf Guy,
Bayside Shakedown,
The Treasure 2,
Sinkhole,
The Vulture,
Big Bad Mama II,R
Zhauzhürek myng bala,
Starship: Rising,TV-14
"Korona Rossiyskoy Imperii, ili Snova Neulovimye",
Kajínek,
Payoff,
Shaolin and Wu Tang,
Circuitry Man,R
Scorpius Gigantus,R
View from a Blue Moon,PG
The Vindicator,R
The Money,
Jurassic Predator: Xtinction,TV-14
Iceman: The Time Traveller,
"Ranma ½: The Movie 2, Nihao My Concubine",TV-14
Scar City,R
Move On,
Pedicab Driver,
Naachiyaar,
Black Scorpion II: Aftershock,R
Paradise Canyon,"Approved,Passed"
Zero Woman: Red Handcuffs,
Plan,
The Sword Bearer,
Lucky,
Teraa Surroor,
Tiger Girl,
Curse of the Mayans,
The Escape of Prisoner 614,PG-13
The Kick,PG-13
The Legion,R
Pit Stop,
Monolith,R
Dynamite,
Power,
Drum,R
No Contest,R
Sars Wars,
Assassination,
At the Edge of the World,PG
Iron Warrior,PG-13
Unrivaled,R
Digimon Adventure tri. Part 4: Loss,TV-PG
Isle of the Dead,TV-14
We're Going to Eat You,
Le choc,
Rat Pfink and Boo Boo,
The Big Swindle,
Kazakh Khanate: Diamond Sword,
Uzumasa Limelight,
Arcadia of My Youth,
Ardennes Fury,
Red Eagle,
The Devil Dared Me To,
World Gone Wild,R
Lai Bhaari,
Raiders of the Lost Shark,
La scorta,
Zeros and Ones,R
Chakravyuha,
Marakkar: Lion of the Arabian Sea,
Robotrix,
Interceptor Force,R
To Please a Lady,"Approved,Passed"
Tian can di que,R
The Brooklyn Banker,R
USS Seaviper,
Toxic Skies,
Big Bullet,
The Bravest,PG-13
Goli Soda 2,
Alien Predator,
The Four 3,R
The Maker,R
Tag: The Assassination Game,PG
Max Havoc: Curse of the Dragon,
A Trip to Karabakh,
Supercon,R
Electric Slide,R
The Avenging Eagle,R
Gallants,
Assassins Tale,
The Raid,Approved
Firepower,R
Battle Queen 2020,R
2020,
The Giant of Marathon,
Cleopatra Jones and the Casino of Gold,R
Ana y Bruno,TV-14
Major Dron and the Plague Doctor,
The High Frontier,
Blind Spot,
Miss & Mrs. Cops,
Trouble Bound,"R,TV-MA"
Future X-Cops,
Samurai Princess,
The Item,R
"Taza, Son of Cochise","Approved,TV-PG"
Operation Thunderbolt,PG
City Under Siege,
Ironmaster,
13 Assassins,
The Outside Man,PG
Kranti,
River of Darkness,R
The Mummy Rebirth,
Break Even,
Har Har Byomkesh,
The Invincible Armour,
Mad Mission 3: Our Man from Bond Street,
The 8th Plague,
The Fallen,
Invader,R
The Curse of the Dragon,R
Ninja Apocalypse,
The Wicked City,
The Hit List,R
Arjun,
Run,
Alien Dawn,R
Down to the Sea in Ships,"Approved,TV-G"
Kantri,
Cattle Queen of Montana,"Approved,TV-PG,Passed"
Hooked 2: Next Level,
Rafathar,
Double Tap,
Rivals,
Jerry Cotton,
Curry and Pepper,
Ek Niranjan,
Chains of Gold,R
Zatoichi at Large,
Caged Fury,
Tirupathi,
Black Samurai,R
Allies,
Boost,
Todd McFarlane's Spawn 2,PG-13
Zero Nine,
Deathstalker IV: Match of Titans,R
Evel Knievel,"GP,Passed"
Maximum Impact,
Kill Ratio,
Zombie Spring Breakers,
Raining in the Mountain,
Johnny Cool,Approved
Santa Jaws,TV-PG
The Man Who Stole the Sun,
Gen-Y Cops,R
Mr. Nookayya,
The Terror of the Tongs,Approved
Paragraf 78 - Film vtoroy,
Bheemaa,
Hornets' Nest,"GP,R,M"
Midnight Ride,R
Serbian Scars,
Junga,
Alleycats,
Ten Tall Men,"Approved,TV-PG"
Revelation Road 2: The Sea of Glass and Fire,
Paradise,
Split Decisions,R
Udhaya,
Big Shar,
Santana,TV-MA
Ten Seconds to Hell,"Approved,Passed"
Take Aim at the Police Van,
Violent Naples,
Dragon Fight,
Friendship,
Revenge,R
Sasquatch Mountain,R
Killing,
Blowing Wild,"Approved,TV-PG"
Saugandh,
Lakeer - Forbidden Lines,
Dubai Seenu,
LIE,
The Three Musketeers,
The Lawless Frontier,"Approved,Passed"
'Neath the Arizona Skies,"Approved,Passed"
Parvarish,
Gemini,
Gurren Lagann the Movie: The Lights in the Sky are Stars,PG-13
Aalwar,
Red Line 7000,Approved
The Story of Dr. Wassell,"Approved,TV-PG,Passed"
Alex Pandian,
I Want To,
Banovic Strahinja,
Witchtrap,R
Delta Force 3: The Killing Game,R
Vendetta,
The Carrier,TV-MA
To the Limit,R
Transit 17,
Convicted,"Approved,TV-PG,Passed"
Dust to Glory,PG
F20,
Spy of Orange,
Taymour and Shafika,
Swamp Devil,TV-14
Prince the Fighter,
Bangkok Adrenaline,R
Glass Trap,PG-13
Accident,
Gintama 2: Rules are Made to be Broken,
The Beast,
Mynaa,
Attack of the 60 Foot Centerfolds,R
Day of Reckoning,
Animal 2,R
American Muscle,
Golden Job,TV-14
Hot Rods to Hell,Approved
Code Name: Wild Geese,R
The Front Line,
Jajantaram Mamantaram,
Steel Rain 2,
SR Kalyanamandapam,
Racket Girls,
Code Name: Emerald,PG
Lady Magdalene's,
Down Twisted,R
Bhaag Johnny,
Cantonen Iron Kung Foo,
Emmanuelle 5,R
Betrayal,R
Seetimaarr,
Scavengers,
Salim,
Aambala,
Milarepa,PG
Do Aur Do Paanch,
The Da Vinci Treasure,R
The Last Rites of Ransom Pride,R
Bloodmatch,R
Black River,
Bana sans dile,
The Black Madonna,
Goli Soda,
Un comisar acuzã,
Gharshana,
Terminal Island,R
Zero Zone,
Detroit 9000,R
The Tsunami Warrior,R
The Stranglers of Bombay,
Moscow Gold,
Guardians of the Night,
Blank,
Star Slammer,R
Man in the Shadow,"Approved,TV-PG,Passed"
Legend of the Dragon,
Slaughter,R
Pressure,R
Shams elzanaty,
The Pirates of Blood River,Approved
He Who Dares,
Escape from Ensenada,TV-MA
The Rooftop,
MindGamers,R
Yalghaar,
The Perils of Pauline,Passed
The Patrol,
The Job,R
Hate Crime,
Women's Prison Massacre,R
The Real Miyagi,TV-14
Endgame,
Young and Dangerous 2,
Mudda 370 J&K,
"The Cynic, the Rat and the Fist",
SGT. Will Gardner,TV-MA
Throttle,R
The Last Chase,PG
Auzaar,
Kasablanka,
Current Theega,
Iris: The Movie,
Hera Pheri,
The Million Eyes of Sumuru,
Y'ur Height Only,
Striker,
Dirty Ho,R
Department,
Shaolin Temple,
Camino,TV-MA
Check Point,TV-MA
The Real Glory,"Approved,Passed,TV-G"
Naan Sigappu Manithan,
Neon City,R
Invincible Shaolin,R
Pickings,R
Daud: Fun on the Run,
The Liquidator,
From Vegas to Macau II,
Kurukshetra,
The Girl from Monday,R
Varudu,
Real Playing Game,R
Women of Mafia 2,
Longshot,PG-13
By the Law,
Vishnu,
Police Tactics,
Radar Men from the Moon,"Approved,Passed"
No Escapes,
Underworld,R
Kamui,
Ticket Out,
The Bride with White Hair II,
Saguni,
The Beacon,R
The Maze,R
Seoul Raiders,
Mirapakai,
Showdown,"R,PG-13"
Full Alert,
Beast with a Gun,
Sakthi,
Dögkeselyü,
The Bleeding,R
Avan Ivan,
Jaagruti,
Mayavi,
The Princess and the Pilot,
Novye priklyucheniya neulovimykh,
The Art of Stealing,
Leaving Afghanistan,
Gaddalakonda Ganesh,
The Star Packer,"Approved,Passed"
The Big Mouth,
Blood for a Silver Dollar,
Once Upon a Time in China IV,
Agnee,
Executive Target,R
Sailor Moon Eternal,TV-14
Chalo,
Bring Me the Head of the Machine Gun Woman,
Viking Destiny,R
Türkler Cildirmis Olmali,
Blood-C: The Last Dark,TV-MA
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,
Patthar Ke Phool,
We Still Steal the Old Way,
Parampara,
Most,
Khadgam,
Rancid,R
Django the Bastard,PG
Poojai,
Silencer,TV-MA
Cheerleader Ninjas,R
The Fable,
Pulgasari,
The Awakener,
Mr. Local,
Ram Asur,
Yeshwant,
Chicago Overcoat,R
Zatoichi and the Fugitives,
The Rage,
Ayogya,
Aswathama,
Soul Assassin,R
Wizards of the Lost Kingdom II,PG
Hot Stuff,PG
The Inheritor,PG
Sapoot,
A.P.E.X.,R
"Blood, Guts, Bullets and Octane",R
Pirates of Treasure Island,PG-13
Dracula: The Impaler,TV-MA
The Calculator,
The Lady in Red,R
In Like Flynn,R
Samaritan Zatoichi,
Flight,
Zhan Du Xiao,
Suhaag,
Blood Games,R
Trayam,
Sree,
Cop's Honour,
Goblin Slayer: Goblin's Crown,
Kaalidas,
Pal Pal Dil Ke Paas,
The Looking Glass War,"M/PG,M,TV-14"
The Suspicious Death of a Minor,
The Runners,
The Exterminators of the Year 3000,R
Tu pa tam,
Fit to Kill,R
Horrors of War,
Yuma,
Devilman,
Digimon Adventure tri. Part 2: Determination,
The Price of Air,
One-Armed Boxer,R
Chaw,R
Catch That Girl,
Clash,R
Thodari,
Porinju Mariyam Jose,
TC 2000,R
Sultanes del Sur,
Fist of Fury 1991,
Bunny,
First Rank,
Jungle,
The Killer,
Asthram,
Supercroc,
Mobile Suit Gundam III: Encounters in Space,
Gammera the Invincible,
Raakh,PG-13
Ripoux 3,
Gamera the Brave,
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,
Adhe Kangal,
J.D.'s Revenge,R
Yo-Yo Girl Cop,
The Treasure Hunter,
Viva Knievel!,PG
Devil's Den,
Natasaarvabhowma,
Dilwaala,
Street,PG-13
Atragon,TV-Y7
The Last Frontier,
The Unknown,R
Resurrection of the Little Match Girl,
Kammara Sambhavam,
High Risk,R
Heroes Shed No Tears,
The Legend of Frenchie King,R
My Pet Dinosaur,
A Moment of Romance,
The Squeeze,PG-13
Agir abi,
Kroll,
Mobile Suit Gundam II: Soldiers of Sorrow,
Infected,R
Twice Upon a Time,PG
The White Storm 2: Drug Lords,
Puppet Master X: Axis Rising,
The Last Days of Pompeii,Approved
Paradise Z,R
Thám Tử Lừng Danh Conan: Bản Tình Ca Màu Đỏ Thẫm,
Zatoichi the Outlaw,
The Climbers,
The Missing Lynx,PG
The Four 2,R
Zatoichi's Cane Sword,
The Final Cut,R
Malibu Rescue,"TV-G,TV-Y7,TV-PG"
War of the Worlds: Goliath,PG-13
Yamla Pagla Deewana Phir Se,
Suryam,
Theevram,
The Great Locomotive Chase,Approved
Welcome 2 Karachi,
The Lucky Texan,Passed
The Odd Angry Shot,
The Device,
Maine Dil Tujhko Diya,
Rage at Dawn,"Approved,TV-PG,Passed"
Psy 3: W imie zasad,
Iravukku Aayiram Kangal,
Black and White,R
Hjärta av sten,
Monsoon Shootout,
Maniac Nurses find Ecstasy,
Butterfly and Sword,
Attack of the Gryphon,"PG-13,TV-14"
The Shadow Men,
Winx Club: The Secret of the Lost Kingdom,G
Zombie Ninjas vs Black Ops,R
The Zero Hour,
The Eagle and the Hawk,"Approved,TV-PG"
Venky Mama,
Heroic Trio 2: Executioners,
Blue City,R
Moosa Jatt,
To Kill with Intrigue,PG-13
Axe Giant: The Wrath of Paul Bunyan,R
The Taking of Beverly Hills,"R,TV-14"
The Ride,PG-13
One Piece: The Giant Mechanical Soldier of Karakuri Castle,TV-14
A Gnome Named Gnorm,PG
Alemão: Both Sides of the Operation,
Thirst,
Real,
Na Maloom Afraad 2,
Sagebrush Trail,Passed
Buffalo Boys,TV-MA
The Split,"R,M"
Jackson County Jail,R
Bone Dry,R
Soldier Boyz,R
Take Point,TV-14
The Don Is Dead,"R,Passed"
Future Cops,
One Shot,
Keemat: They Are Back,
Golden Slumber,
Beatdown,R
PSV Garuda Vega,
Ninja Terminator,
Sur le seuil,
Redeemer,
Cigarette Soup,TV-14
Dick Tracy vs. Cueball,Approved
Kasaba,
Clementine,
The Rescue,PG
"Cherry, Harry & Raquel!","R,X"
King Solomon's Mines,
Young Billy Young,"TV-PG,G"
Alag: He Is Different.... He Is Alone...,
Foxtrot Six,TV-MA
Hard to Die,NC-17
Above and Beyond,Approved
A Father's Fight,
Crime in the Streets,"Approved,Passed"
The Legend of Hei,
Battle in Outer Space,Approved
