Movie_Title,ListOfCertificate
Brooklyn's Finest,R
Hera Pheri,
Kiss of the Dragon,"R,TV-14"
Automata,R
Final Fantasy VII: Advent Children,PG-13
Eight Legged Freaks,"PG-13,TV-14"
Free State of Jones,R
Bangkok Dangerous,R
Where Eagles Dare,"M,TV-PG,TV-14"
Proof of Life,R
Spectral,PG-13
The Peacemaker,R
Last Man Standing,"R,TV-MA,TV-14"
Ride Along 2,PG-13
Pete's Dragon,PG
Vampires,R
xXx: State of the Union,PG-13
Ladder 49,PG-13
Traitor,PG-13
Red Planet,PG-13
Blackhat,R
Firewall,PG-13
Jonah Hex,PG-13
Haider,
Black Rain,"R,TV-14"
Courage Under Fire,R
Adrift,PG-13
Over the Top,PG
Captive State,PG-13
Absolute Power,"R,TV-14"
Stealth,PG-13
Ip Man 3,PG-13
Night Watch,R
The Three Musketeers,PG
Batman: The Killing Joke,R
Vampire Academy,PG-13
Ghosts of Mars,R
Marighella,
Mortal Kombat: Annihilation,PG-13
Jungle,R
Kickboxer,"R,TV-14"
Flight of the Phoenix,PG-13
Wild Card,R
Uri: The Surgical Strike,
Passenger 57,R
Batman: Mask of the Phantasm,"PG,TV-Y7"
The Ridiculous 6,TV-14
Inspector Gadget,PG
The Killer,R
Bad Company,PG-13
Keanu,R
The Fan,R
Forbidden Planet,"Approved,TV-PG,Passed,G"
In the Name of the King: A Dungeon Siege Tale,PG-13
Black Dynamite,R
Loaded Weapon 1,PG-13
How It Ends,TV-MA
Assault on Precinct 13,"R,TV-MA"
Kate,R
The Covenant,PG-13
Neon Genesis Evangelion: The End of Evangelion,TV-MA
The Blind Swordsman: Zatoichi,R
The Guns of Navarone,TV-PG
Smokey and the Bandit,PG
Formula 51,R
Superman IV: The Quest for Peace,PG
Blood Work,"R,TV-14"
District 13: Ultimatum,R
The Enforcer,R
Fan,
The Pink Panther 2,"PG,TV-PG,TV-G"
Cradle 2 the Grave,R
The Dead Pool,"R,TV-14"
DOA: Dead or Alive,PG-13
Fantasy Island,PG-13
Stolen,R
1: Nenokkadine,
The Colony,TV-MA
Cirque du Freak: The Vampire's Assistant,"PG-13,TV-PG"
Slow West,R
Rising Sun,"R,TV-14"
The Italian Job,G
Congo,PG-13
The Legend of Drunken Master,R
Dhoom 3,
Red Sonja,PG-13
The Gunman,R
Driven,PG-13
Demon Slayer: Mugen Train,R
The Medallion,PG-13
Another 48 Hrs.,"R,TV-14"
Beverly Hills Ninja,PG-13
Revenge,R
The Legend of Tomiris,TV-14
The Transporter Refueled,PG-13
The Last Starfighter,PG
Blood Red Sky,TV-MA
Nick of Time,R
Stop! Or My Mom Will Shoot,PG-13
Rumble in the Bronx,R
Chaos Walking,PG-13
Ninja Scroll,TV-MA
Paul Blart: Mall Cop 2,PG
Ironclad,R
The Wave,R
Ludo,TV-MA
Raatchasan,
Sanjuro,
The Protector,R
Hollywood Homicide,"PG-13,TV-14"
The Cold Light of Day,PG-13
Killing Season,R
Infinite,PG-13
House of the Dead,R
The Siege of Jadotville,TV-MA
The Baader Meinhof Complex,R
Near Dark,R
Wild Target,PG-13
Sooryavanshi,
Spy Hard,PG-13
The Hidden Fortress,
The Cave,PG-13
The Four Feathers,"R,PG-13"
#Alive,TV-MA
Straw Dogs,R
Sudden Death,R
Redirected,
22 Bullets,
Toofaan,
Get Carter,R
Day Watch,R
Gunjan Saxena: The Kargil Girl,TV-14
Escape from the Planet of the Apes,G
New Jack City,R
Gunpowder Milkshake,R
Police Story,PG-13
Agent Cody Banks,PG
Time Trap,
Exit Wounds,"R,TV-14"
Main Hoon Na,
The Informer,R
Undercover Brother,PG-13
The War of the Worlds,"Approved,TV-PG,Passed,G"
The Code,R
The Black Cauldron,PG
The Monster Squad,PG-13
Spartan,R
Tank Girl,R
Dabangg,
Jodhaa Akbar,TV-14
Mersal,TV-14
Undisputed,R
Son of Rambow,PG-13
Sleepless,R
Krull,PG
Conquest of the Planet of the Apes,PG
To Live and Die in L.A.,"R,TV-14"
Maximum Overdrive,R
