Movie_Title,Movie_ID,ListOfCertificate
Arrival,2543164,PG-13
Vanilla Sky,259711,R
Godzilla vs. Kong,5034838,PG-13
Charlie's Angels: Full Throttle,305357,"PG-13,TV-14"
Due Date,1231583,"R,TV-14"
The Pelican Brief,107798,PG-13
Contact,118884,PG
Collateral,369339,R
Unforgiven,105695,"R,TV-14"
Sleepy Hollow,162661,R
Rampage,2231461,PG-13
Con Air,118880,"R,TV-14"
Eagle Eye,1059786,PG-13
The Cat in the Hat,312528,"PG,TV-PG"
Noah,1959490,PG-13
Eraser,116213,R
Passengers,1355644,PG-13
Scream 2,120082,"TV-MA,R,TV-14"
Million Dollar Baby,405159,"PG-13,TV-PG,TV-14"
This Is the End,1245492,"TV-MA,R"
The Prince of Egypt,120794,PG
Unbreakable,217869,PG-13
The Princess Diaries 2: Royal Engagement,368933,G
Zero Dark Thirty,1790885,R
Sex and the City 2,1261945,R
Michael,117038,PG
Norbit,477051,"PG-13,R,TV-14"
Cold Mountain,159365,R
Arthur,82031,"PG,TV-PG"
Legally Blonde,250494,"PG-13,TV-14"
Rocketman,2066051,R
Panic Room,258000,R
Dead Poets Society,97165,PG
The Others,230600,PG-13
Downton Abbey,6398184,PG
Stir Crazy,81562,R
Schindler's List,108052,"TV-MA,R"
The Social Network,1285016,"PG-13,TV-PG,TV-14"
The Game Plan,492956,"PG,TV-PG"
High School Musical 3: Senior Year,962726,"G,TV-G"
Antz,120587,"TV-Y7-FV,TV-G,PG,TV-Y7,TV-PG"
"Me, Myself & Irene",183505,R
Scary Movie 4,362120,"PG-13,TV-14"
Prince of Persia: The Sands of Time,473075,PG-13
The Karate Kid,87538,"PG,TV-PG"
The Scorpion King,277296,PG-13
The Imitation Game,2084970,PG-13
Crimson Tide,112740,R
Stepmom,120686,PG-13
Save the Last Dance,206275,PG-13
The Haunting,171363,"PG-13,TV-14"
Back to School,90685,"PG-13,TV-14"
Ride Along 2,2869728,PG-13
Kindergarten Cop,99938,"PG-13,TV-14"
Heaven Is for Real,1929263,PG
Madea Goes to Jail,1142800,PG-13
Think Like a Man,1621045,PG-13
Taken 3,2446042,"PG-13,TV-14"
Fury,2713180,R
Annie,1823664,PG
Presumed Innocent,100404,"R,TV-14"
Entrapment,137494,PG-13
Spy Kids 2: Island of Lost Dreams,287717,"TV-G,PG,TV-PG"
Mean Girls,377092,"PG-13,TV-14"
Alvin and the Chipmunks: The Road Chip,2974918,PG
The Emoji Movie,4877122,PG
Young Frankenstein,72431,PG
Dumb and Dumber To,2096672,"PG-13,TV-14"
The Accountant,2140479,R
The War of the Roses,98621,"R,TV-14"
The Amityville Horror,78767,R
The Campaign,1790886,R
The Naked Gun 2½: The Smell of Fear,102510,"PG-13,TV-PG"
Pineapple Express,910936,"TV-MA,R"
Sisters,1850457,"TV-MA,R,TV-14"
Out of Africa,89755,PG
Saw II,432348,"TV-MA,R,TV-14"
Miss Peregrine's Home for Peculiar Children,1935859,PG-13
Peter Pan,46183,G
Disclosure,109635,"R,TV-14"
Are We There Yet?,368578,PG
Die Hard,95016,"TV-MA,R,TV-14"
Charlotte's Web,413895,"G,TV-G"
Turbo,1860353,"TV-G,PG,TV-PG"
Monster-in-Law,369735,PG-13
Brokeback Mountain,388795,"TV-MA,R"
Smallfoot,6182908,PG
Valkyrie,985699,PG-13
Saving Mr. Banks,2140373,PG-13
Penguins of Madagascar,1911658,"TV-G,PG,TV-PG"
Patriot Games,105112,"R,TV-14"
Airplane!,80339,"PG,TV-PG,TV-14"
Apocalypse Now,78788,"R,TV-14"
Under Siege,105690,R
Immortals,1253864,R
I Can Only Imagine,6450186,"PG,TV-PG"
The Wedding Singer,120888,"PG-13,TV-14"
Battle Los Angeles,1217613,PG-13
Cloverfield,1060277,PG-13
Goosebumps,1051904,"PG,TV-PG"
Jack Reacher,790724,PG-13
Jumper,489099,PG-13
The Mummy,2345759,"PG-13,TV-14"
Nacho Libre,457510,PG
Disturbia,486822,"PG-13,R"
Zookeeper,1222817,PG
Saw III,489270,"TV-MA,R"
Alien vs. Predator,370263,PG-13
What Happens in Vegas,1033643,PG-13
The Dukes of Hazzard,377818,PG-13
Hustlers,5503686,R
Fiddler on the Roof,67093,G
The Texas Chainsaw Massacre,324216,R
Eat Pray Love,879870,"PG-13,R"
Moonstruck,93565,PG
The Notebook,332280,PG-13
Another 48 Hrs.,99044,"R,TV-14"
Father of the Bride Part II,113041,"PG,TV-PG"
Tower Heist,471042,"PG-13,TV-14"
Romancing the Stone,88011,PG
Jimmy Neutron: Boy Genius,268397,"TV-Y,TV-G,TV-Y7,G,TV-PG"
The Muppet Movie,79588,G
Poltergeist,84516,"TV-MA,PG,TV-14"
Training Day,139654,"R,TV-14"
27 Dresses,988595,PG-13
Dolittle,6673612,PG
Alice Through the Looking Glass,2567026,PG
Where the Wild Things Are,386117,PG
Parental Guidance,1047540,PG
The A-Team,429493,"PG-13,TV-14"
U-571,141926,PG-13
Philadelphia,107818,"PG-13,TV-14"
Night School,6781982,"TV-MA,PG-13"
March of the Penguins,428803,G
Free Willy,106965,PG
Gangs of New York,217505,R
Backdraft,101393,R
The Terminal,362227,PG-13
The Adventures of Tintin,983193,PG
Annabelle Comes Home,8350360,R
Alien: Covenant,2316204,"TV-MA,R"
No Country for Old Men,477348,R
Six Days Seven Nights,120828,PG-13
Jack and Jill,810913,"PG,TV-PG"
Four Brothers,430105,R
Ben-Hur,52618,"G,TV-PG"
Ladder 49,349710,PG-13
The Prince of Tides,102713,R
Star Trek VI: The Undiscovered Country,102975,PG
10,78721,R
Eragon,449010,PG
Coraline,327597,"PG,TV-PG,TV-14"
The Exorcism of Emily Rose,404032,PG-13
The Nightmare Before Christmas,107688,PG
Ray,350258,"TV-MA,PG-13,TV-14"
The Horse Whisperer,119314,PG-13
Garfield,356634,"TV-Y,TV-G,PG,TV-Y7,TV-PG"
I Know What You Did Last Summer,119345,"R,TV-14"
Chocolat,241303,"TV-MA,PG-13"
A Madea Family Funeral,7054636,PG-13
The Bridges of Madison County,112579,PG-13
Bridget Jones's Diary,243155,R
Galaxy Quest,177789,PG
Stargate,111282,PG-13
Mama,2023587,PG-13
Ruthless People,91877,"PG-13,R,TV-14"
Three Men and a Little Lady,98966,"PG,TV-PG"
RV,449089,PG
My Fair Lady,58385,G
John Q,251160,PG-13
Fred Claus,486583,PG
Get Shorty,113161,R
1408,450385,"PG-13,TV-14"
The Purge: Anarchy,2975578,"R,TV-14"
10 Cloverfield Lane,1179933,PG-13
A Bad Moms Christmas,6359956,R
This Is It,1477715,PG
The Cannonball Run,82136,PG
Ace Ventura: Pet Detective,109040,"TV-MA,PG-13,TV-14"
Hot Shots!,102059,PG-13
V for Vendetta,434409,R
The First Purge,6133466,"R,TV-14"
Divine Secrets of the Ya-Ya Sisterhood,279778,PG-13
Swordfish,244244,R
Grumpier Old Men,113228,PG-13
The Kid,219854,PG
Nine Months,113986,PG-13
The Best Little Whorehouse in Texas,83642,R
Private Benjamin,81375,R
Seven Pounds,814314,PG-13
Born on the Fourth of July,96969,"R,TV-14"
Blade,120611,R
Kill Bill: Vol. 1,266697,"TV-MA,R,TV-14"
Act of Valor,1591479,R
Boomerang,103859,"R,TV-14"
Star Trek: Insurrection,120844,PG
Ferris Bueller's Day Off,91042,"PG-13,TV-14"
The Golden Compass,385752,PG-13
The Mexican,236493,R
Kangaroo Jack,257568,PG
End of Days,146675,R
The Secret of My Success,93936,PG-13
102 Dalmatians,211181,G
Changing Lanes,264472,R
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1698641,"TV-G,PG,TV-PG"
Waiting to Exhale,114885,R
The Bounty Hunter,1038919,PG-13
Dante's Peak,118928,PG-13
Angel Has Fallen,6189022,R
Hacksaw Ridge,2119532,R
Coach Carter,393162,PG-13
Coal Miner's Daughter,80549,PG
Race to Witch Mountain,1075417,PG
Lights Out,4786282,"PG-13,TV-14"
Hidalgo,317648,PG-13
A Good Day to Die Hard,1606378,"R,TV-14"
Holes,311289,"PG,TV-PG"
Instant Family,7401588,PG-13
Role Models,430922,"R,TV-14"
Insomnia,278504,R
Stakeout,94025,R
Mirror Mirror,1667353,PG
Stuart Little 2,243585,"TV-G,PG"
Pitch Perfect,1981677,PG-13
The American President,112346,PG-13
Exodus: Gods and Kings,1528100,PG-13
Now You See Me 2,3110958,PG-13
Wolf,111742,R
Friday the 13th,758746,"TV-MA,R"
Think Like a Man Too,2239832,PG-13
Barbershop 2: Back in Business,337579,PG-13
About Schmidt,257360,R
Jack the Giant Slayer,1351685,PG-13
The Visit,3567288,PG-13
Lethal Weapon,93409,"R,TV-14"
Step Up,462590,PG-13
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,1127884,G
The Amityville Horror,384806,R
Staying Alive,86361,PG
Battleship,1440129,"PG-13,TV-14"
Rising Sun,107969,"R,TV-14"
A Nightmare on Elm Street,1179056,"R,TV-14"
Forgetting Sarah Marshall,800039,"R,TV-14"
The Holiday,457939,PG-13
The Sorcerer's Apprentice,963966,PG
Dave,106673,"PG-13,TV-14"
She's All That,160862,PG-13
Saw IV,890870,"TV-MA,R"
The Boss,2702724,"R,TV-14"
Madea's Family Reunion,455612,PG-13
Miami Vice,430357,"R,TV-14"
Tango & Cash,98439,"R,TV-14"
The Time Traveler's Wife,452694,PG-13
The Fox and the Hound,82406,G
Kiss the Girls,119468,R
Beavis and Butt-Head Do America,115641,"PG-13,TV-14"
Jingle All the Way,116705,PG
Three Kings,120188,"R,TV-14"
Fantasia 2000,120910,G
Abominable,6324278,PG
Poseidon,409182,PG-13
God's Not Dead,2528814,PG
Coyote Ugly,200550,"PG-13,R,TV-PG,TV-14"
Mission to Mars,183523,PG
The Devil's Advocate,118971,R
Harlem Nights,97481,"R,TV-14"
Get Him to the Greek,1226229,R
Prisoners,1392214,R
The Shaggy Dog,393735,PG
Misery,100157,R
National Lampoon's Vacation,85995,"R,TV-14"
Rules of Engagement,160797,R
Friday Night Lights,390022,PG-13
Stomp the Yard,775539,PG-13
The Cell,209958,"R,TV-14"
The Saint,120053,PG-13
Deepwater Horizon,1860357,PG-13
My Big Fat Greek Wedding 2,3760922,PG-13
Gothika,348836,R
Bride Wars,901476,PG
The Blue Lagoon,80453,"TV-MA,R,TV-14"
Surf's Up,423294,PG
Total Recall,1386703,PG-13
Vacation,1524930,R
Far and Away,104231,PG-13
Courage Under Fire,115956,R
Chariots of Fire,82158,"PG,TV-PG"
The Grand Budapest Hotel,2278388,R
Behind Enemy Lines,159273,PG-13
Dawn of the Dead,363547,R
Planes: Fire & Rescue,2980706,"TV-G,PG,TV-PG"
The Lego Ninjago Movie,3014284,PG
The Last Boy Scout,102266,R
The Dictator,1645170,R
Hellboy,167190,PG-13
The Stepford Wives,327162,PG-13
Son of God,3210686,PG-13
Tomb Raider,1365519,PG-13
Love Actually,314331,"R,TV-14"
The Godfather: Part II,71562,R
Sister Act 2: Back in the Habit,108147,"PG,TV-PG"
Next Friday,195945,"R,TV-14"
Blood Diamond,450259,R
The Specialist,111255,"R,TV-14"
Dragnet,92925,"PG-13,TV-14"
The Shack,2872518,PG-13
Moulin Rouge!,203009,PG-13
Pet Sematary,98084,R
Boyz n the Hood,101507,"R,TV-14"
Life Is Beautiful,118799,PG-13
The Cider House Rules,124315,"PG-13,TV-PG"
Memoirs of a Geisha,397535,PG-13
Fences,2671706,PG-13
The Animal,255798,"PG-13,R"
Takers,1135084,PG-13
The Chronicles of Riddick,296572,"PG-13,R"
Invincible,445990,PG
Cleopatra,56937,"G,TV-PG"
Willow,96446,PG
In Search of Noah's Ark,76182,G
Shall We Dance,358135,PG-13
Free Birds,1621039,"TV-G,PG,TV-PG"
Forever Young,104291,PG
Romeo Must Die,165929,R
Friends with Benefits,1632708,R
