Movie_Title,Movie_ID,ListOfCertificate
Robin Hood,955308,PG-13
The Rugrats Movie,134067,G
The First Wives Club,116313,PG
Arrival,2543164,PG-13
Godzilla vs. Kong,5034838,PG-13
Vanilla Sky,259711,R
Charlie's Angels: Full Throttle,305357,PG-13
Collateral,369339,R
The Pelican Brief,107798,PG-13
Rampage,2231461,PG-13
Sleepy Hollow,162661,R
Contact,118884,PG
Eagle Eye,1059786,PG-13
Con Air,118880,R
Eraser,116213,R
The Cat in the Hat,312528,PG
Noah,1959490,PG-13
The Prince of Egypt,120794,PG
Stir Crazy,81562,R
Unforgiven,105695,R
Billy Jack,66832,GP
Unbreakable,217869,PG-13
Michael,117038,PG
Sex and the City 2,1261945,R
The Princess Diaries 2: Royal Engagement,368933,G
Cold Mountain,159365,R
Arthur,82031,PG
Zero Dark Thirty,1790885,R
Norbit,477051,"R,PG-13"
Dead Poets Society,97165,PG
Rocketman,2066051,R
Downton Abbey,6398184,PG
Panic Room,258000,R
Legally Blonde,250494,PG-13
The Others,230600,PG-13
Schindler's List,108052,R
Yes Man,1068680,PG-13
The Social Network,1285016,PG-13
Public Enemies,1152836,R
Inspector Gadget,141369,PG
Sausage Party,1700841,R
42,453562,PG-13
High School Musical 3: Senior Year,962726,G
"Me, Myself & Irene",183505,R
Scary Movie 4,362120,PG-13
The Game Plan,492956,PG
Save the Last Dance,206275,PG-13
Antz,120587,PG
Prince of Persia: The Sands of Time,473075,PG-13
The Karate Kid,87538,PG
The Scorpion King,277296,PG-13
Ride Along 2,2869728,PG-13
The Imitation Game,2084970,PG-13
Back to School,90685,PG-13
Crimson Tide,112740,R
Stepmom,120686,PG-13
The Haunting,171363,PG-13
Kindergarten Cop,99938,PG-13
Fury,2713180,R
Spy Kids 2: Island of Lost Dreams,287717,PG
Alvin and the Chipmunks: The Road Chip,2974918,PG
Heaven Is for Real,1929263,PG
Mean Girls,377092,PG-13
Annie,1823664,PG
The Emoji Movie,4877122,PG
The Accountant,2140479,R
Young Frankenstein,72431,PG
Dumb and Dumber To,2096672,PG-13
The Amityville Horror,78767,R
Presumed Innocent,100404,R
The Naked Gun 2½: The Smell of Fear,102510,PG-13
The War of the Roses,98621,R
The Campaign,1790886,R
Saw II,432348,R
Sisters,1850457,R
Miss Peregrine's Home for Peculiar Children,1935859,PG-13
Pineapple Express,910936,R
Out of Africa,89755,PG
Are We There Yet?,368578,PG
Peter Pan,46183,G
Monster-in-Law,369735,PG-13
Die Hard,95016,R
Charlotte's Web,413895,G
Turbo,1860353,PG
Disclosure,109635,R
Brokeback Mountain,388795,R
Valkyrie,985699,PG-13
Patriot Games,105112,R
Smallfoot,6182908,PG
Airplane!,80339,PG
Penguins of Madagascar,1911658,PG
Saving Mr. Banks,2140373,PG-13
I Can Only Imagine,6450186,PG
Under Siege,105690,R
Apocalypse Now,78788,R
Immortals,1253864,R
Battle Los Angeles,1217613,PG-13
Cloverfield,1060277,PG-13
Jack Reacher,790724,PG-13
Disturbia,486822,"R,PG-13"
The Mummy,2345759,PG-13
Nacho Libre,457510,PG
Goosebumps,1051904,PG
Jumper,489099,PG-13
The Wedding Singer,120888,PG-13
Saw III,489270,R
Alien vs. Predator,370263,PG-13
What Happens in Vegas,1033643,PG-13
Fiddler on the Roof,67093,G
The Dukes of Hazzard,377818,PG-13
Zookeeper,1222817,PG
Hustlers,5503686,R
The Texas Chainsaw Massacre,324216,R
