Movie_Title,Time
The Nightmare Before Christmas,76
Ray,152
Garfield,80
The Horse Whisperer,169
This Is It,111
The Bridges of Madison County,135
Chocolat,121
Bridget Jones&apos;s Diary,97
Galaxy Quest,102
Stargate,116
Ruthless People,93
Mama,100
RV,99
John Q,116
The Purge: Anarchy,103
My Fair Lady,170
1408,104
Get Shorty,105
Fred Claus,116
10 Cloverfield Lane,103
Sideways,127
World Trade Center,129
Hot Shots!,84
The First Purge,97
The Kid,104
Swordfish,99
The Best Little Whorehouse in Texas,114
Private Benjamin,109
Act of Valor,110
Grumpier Old Men,101
Born on the Fourth of July,145
Blade,120
Boomerang,117
Kill Bill: Vol. 1,111
The Golden Compass,113
Big Momma&apos;s House 2,99
Star Trek: Insurrection,103
Changing Lanes,98
102 Dalmatians,100
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81
The Mexican,123
Kangaroo Jack,89
End of Days,122
The Secret of My Success,111
Dante&apos;s Peak,108
Waiting to Exhale,124
The Bounty Hunter,110
Angel Has Fallen,121
Race to Witch Mountain,98
Hacksaw Ridge,139
Coach Carter,136
Lights Out,81
Hidalgo,136
Mirror Mirror,106
The American President,114
Stuart Little 2,77
Pitch Perfect,112
Friday the 13th,97
Wolf,125
Exodus: Gods and Kings,150
About Schmidt,125
Now You See Me 2,129
Barbershop 2: Back in Business,106
Think Like a Man Too,106
Jack the Giant Slayer,114
The Visit,94
Lethal Weapon,109
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,74
Step Up,104
A Nightmare on Elm Street,95
Rising Sun,125
The Sorcerer&apos;s Apprentice,109
Forgetting Sarah Marshall,111
The Holiday,136
Dave,110
Saw IV,93
Madea&apos;s Family Reunion,107
Tango &amp; Cash,104
The Time Traveler&apos;s Wife,107
The Fox and the Hound,83
She&apos;s All That,95
Miami Vice,132
Risky Business,99
A Fish Called Wanda,108
Hope Springs,100
The Fifth Element,126
Kiss the Girls,115
Thunderball,130
Jingle All the Way,89
Three Kings,114
Fantasia 2000,75
Poseidon,98
Coyote Ugly,100
Harlem Nights,116
Get Him to the Greek,109
The Devil&apos;s Advocate,144
Mission to Mars,114
Prisoners,153
The Shaggy Dog,98
Friday Night Lights,118
Misery,107
The Cell,107
Hope Floats,114
Tooth Fairy,101
The Blue Lagoon,104
Bride Wars,89
Total Recall,118
Far and Away,140
Chariots of Fire,125
Why Did I Get Married Too?,121
Vacation,99
Dawn of the Dead,101
Behind Enemy Lines,106
Courage Under Fire,116
The Grand Budapest Hotel,99
The Last Boy Scout,105
The Stepford Wives,93
Hellboy,122
The Godfather: Part II,202
Death Becomes Her,104
Sister Act 2: Back in the Habit,107
My Big Fat Greek Wedding 2,94
Planes: Fire &amp; Rescue,83
The Specialist,110
Blood Diamond,143
The Shack,132
Moulin Rouge!,127
Dragnet,106
Pet Sematary,103
Memoirs of a Geisha,145
The Cider House Rules,126
Boyz n the Hood,112
La vita è bella,116
The Animal,84
Saw V,92
Willow,126
Once Upon a Time in Mexico,102
Friends with Benefits,109
Saw,103
Romeo Must Die,115
Be Cool,118
The Curse of the Were-Rabbit,85
Fantastic Four,100
Primal Fear,129
Just Married,95
Me Before You,106
Edward Scissorhands,105
Dracula Untold,92
The Big Chill,105
White Noise,101
Darkest Hour,125
Drumline,118
Joy,124
Tombstone,130
The Shallows,86
Why Did I Get Married?,113
The Hateful Eight,168
La Bamba,108
The Hundred-Foot Journey,122
The Woman in Black,95
The Abyss,140
Horrible Bosses 2,108
Tag,100
"Three Billboards Outside Ebbing, Missouri",115
New Year&apos;s Eve,118
Crash,112
The Count of Monte Cristo,131
What Men Want,117
King Kong,134
Diary of a Wimpy Kid: Rodrick Rules,100
Four Weddings and a Funeral,117
RoboCop,102
Gandhi,191
The Omen,110
Final Destination 3,93
The Recruit,115
13 Hours,144
Unfaithful,124
Message in a Bottle,126
Varsity Blues,106
Sweeney Todd: The Demon Barber of Fleet Street,116
Forces of Nature,105
My Cousin Vinny,120
Blow,124
Letters to Juliet,105
The Phantom of the Opera,143
Broadcast News,133
The Strangers,86
Star Trek V: The Final Frontier,107
Amadeus,160
American Made,115
Enemy at the Gates,131
DragonHeart,103
Like Mike,99
A Cinderella Story,95
Sneakers,126
My Bloody Valentine,101
The Grey,117
Sleeping Beauty,75
Finding Neverland,106
Atomic Blonde,115
The China Syndrome,122
Resident Evil: Apocalypse,94
Home on the Range,76
Resident Evil: Extinction,94
Sicario: Day of the Soldado,122
Evita,135
Little Women,115
Breakdown,93
Angels in the Outfield,102
Natural Born Killers,118
Overboard,112
Serendipity,90
Hot Tub Time Machine,101
A View to a Kill,131
K-PAX,120
If I Stay,107
The Tuxedo,98
Music and Lyrics,104
Jack Ryan: Shadow Recruit,105
The Huntsman: Winter&apos;s War,114
Peter Pan,113
The Dilemma,111
Miss Congeniality 2: Armed &amp; Fabulous,115
Gemini Man,117
Speed 2: Cruise Control,121
Firewall,105
I Feel Pretty,110
Date Movie,83
Men of Honor,129
Isn&apos;t It Romantic,89
About Last Night,100
Addams Family Values,94
Lady Bird,94
The Deer Hunter,183
