Money,Count
2846993609,7
2843615839,4
2841789580,5
2839956561,13
2839405353,17
2838428828,16
2838395977,17
2834327285,13
2833958063,23
2830036927,3
2825021863,12
2823263043,14
2822032478,4
2810633441,19
2808110914,10
2806904499,21
2794955883,11
2792184368,14
2791824507,19
2788256241,30
2786391634,24
2786250669,6
2783468267,23
2776738946,7
2775799878,15
2775410386,19
2771770310,12
2771551166,19
2770679786,9
2770596283,22
2770536086,12
2762655544,19
2761669717,7
2761238635,29
2755691503,11
2753318628,19
2751344628,7
2750037201,5
2748416571,4
2747160577,3
2746340989,9
2742915863,10
2739679669,11
2731821295,17
2731535033,2
2731535033,2
2728838820,26
2718904886,22
2715126098,30
2713203693,11
2710734703,3
2709174120,16
2693849206,19
2687391054,31
2686839704,22
2685796354,12
2677788107,25
2669481491,15
2669238634,15
2666378729,21
2666247059,15
2665715424,9
2664497159,8
2664462489,42
2662287229,5
2654153335,10
2642590015,40
2639559461,19
2625133325,14
2622753924,3
2618708898,15
2616079704,19
2613203494,12
2612930408,30
2611543680,10
2611012070,35
2611008582,17
2608285106,26
2604625315,10
2602143727,22
2599674065,8
2589974664,7
2588984945,12
2588530573,17
2587083337,11
2586758408,9
2582741683,12
2580621375,26
2580119623,28
2578383669,15
2575829016,11
2568918478,39
2563297606,28
2561640888,22
2554295416,19
2552604645,22
2550807770,12
2549253237,3
2541124637,18
2540209288,21
2539083717,19
2538465390,26
2537256598,9
2535098903,15
2531310815,23
2523736536,21
2520727373,4
2516358990,12
2516224751,4
2515796760,10
2509237444,35
2508532780,18
2504820612,28
2504223079,28
2503294441,9
2498422382,3
2496937020,12
2493153491,15
2483887141,9
2478862202,31
2478588395,12
2469870274,7
2466775966,32
2466298968,3
2462960841,9
2460787402,38
2459720503,9
2453265312,7
2450725790,10
2449044554,3
2436569763,16
2436495918,14
2432847860,33
2426138127,19
2425194826,10
2422173569,10
2415894216,29
2407919546,8
2398168619,15
2397487079,22
2394081866,6
2393755633,28
2390199961,23
2388242176,11
2388169833,5
2387537589,12
2384266654,21
2383929137,26
2379244794,8
2378792671,15
2375774741,29
2375138543,17
2372547936,26
2369485190,26
2369057959,5
2365497873,9
2361774449,7
2357933303,8
2350168376,21
2346900287,23
2340604994,13
2336319733,8
2336115753,26
2335476937,11
2330968538,3
2324751541,23
2317824817,19
2317023791,5
2316909421,14
2316048883,15
2315565445,15
2314253416,5
2313417430,26
2312838491,23
2310311672,7
2307877814,24
2307703209,13
2305224213,15
2304969484,21
2302372512,18
2301680549,16
2298216327,6
2294938896,10
2294917439,19
2294058830,11
2289931471,17
2288967215,20
2286633944,12
2281684311,13
2280466629,8
2274822898,11
2273329894,9
2265934498,15
2264962834,16
2264416521,5
2262978752,4
2259872187,17
2258996940,13
2258616669,11
2253985315,10
2252334210,15
2248796814,11
2247798117,3
2247165892,11
2242531355,3
2240721151,9
2239720632,6
2239486189,4
2235805995,3
2234308800,13
2231875859,17
2229217340,2
2229217340,2
2228524853,2
2227541059,28
2221724585,15
2217277031,8
2217082113,20
2214989635,8
2214891389,9
2214084271,25
2210824619,2
2207729873,12
2205692016,12
2202514263,2
2202349686,24
2197927169,10
2197707300,10
2193880112,11
2191628657,12
2183529852,19
2183441889,2
2180643624,9
2178681035,13
2177322190,6
2175513064,24
2172124265,8
2171901080,13
2168500530,9
2162869319,20
2162561493,11
2162221350,12
2161325659,6
2150560387,21
2148975358,20
2147918714,16
2147905775,13
2140546843,17
2138737356,6
2138607479,13
2134147308,4
2133229384,6
2128916934,20
2128446312,24
2127804105,7
2127121749,5
2124910358,8
2123300168,5
2122214116,4
2120744472,8
2118388787,26
2115580824,6
2110972044,9
2107931075,4
2102095071,3
2101697950,4
2098039233,21
2095057695,37
2093624826,14
2093526007,2
2092535005,9
2091544168,13
2090165157,30
2087175623,4
2084189873,5
2081916153,3
2075850878,11
2075472951,17
2071214473,4
2070971714,13
2070677508,21
2069521700,1
2068334778,5
2067170417,39
2062007329,21
2059417696,10
2059320257,21
2051545946,13
2050436600,8
2048651909,28
2047194915,19
2046482741,15
2043720984,2
2036218554,12
2031754948,3
2027176239,2
2026621791,8
2023763419,14
2023364581,15
2022516767,3
2021940046,17
2021786856,5
2019516436,9
2018772065,15
2018477753,4
2017213312,13
2015233368,2
2013274922,10
2013211879,2
2011135737,6
2009013544,18
2008809914,11
2006466396,9
2004603912,15
2004523787,7
2003283834,18
1996453890,6
1995033136,11
1989528833,15
1989057984,9
1987499492,14
1984500874,12
1984110002,11
1983743917,15
1980970194,18
1980872605,18
1980332931,14
1980041241,4
1976037769,5
1975577974,20
1972946731,6
1970891238,11
1970325409,3
1967025225,13
1966087902,21
