Movie,Date,Month,Year
Fat Man and Little Boy,20,10,1989
Indivisible,26,10,2018
The Good Thief,28,2,2003
Pina,24,2,2011
Blood and Chocolate,4,5,2007
In Country,29,9,1989
The Brothers Bloom,19,6,2009
Talk Radio,13,1,1989
Like Crazy,27,1,2012
Kinjite: Forbidden Subjects,3,2,1989
A Shock to the System,23,3,1990
Gunmen,4,2,1994
Les invasions barbares,24,9,2003
Price of Glory,31,3,2000
The Private Life of Sherlock Holmes,29,10,1970
Avanti!,17,12,1972
Pootie Tang,29,6,2001
Stand Up Guys,1,2,2013
Last Ounce of Courage,14,9,2012
The Glass Shield,2,6,1995
Veronica Mars,13,3,2014
Robot &amp; Frank,19,9,2012
Green Room,13,5,2016
Pi,10,7,1998
Barfly,16,10,1987
Mei ren yu,10,2,2016
Catfish,1,10,2010
A Smile Like Yours,22,8,1997
You Will Meet a Tall Dark Stranger,27,8,2010
The Cat&apos;s Meow,3,5,2002
Soul Survivors,7,9,2001
Supercross,17,8,2005
Relatos salvajes,21,8,2014
White Mischief,10,11,1987
Night of the Demons,14,10,1988
The Boynton Beach Bereavement Club,25,8,2006
Albert Nobbs,22,2,2012
Colossal,21,4,2017
Melancholia,26,5,2011
Hedwig and the Angry Inch,27,7,2001
The Guru,23,8,2002
The Golden Bowl,13,9,2000
China Moon,4,3,1994
The House of Mirth,13,10,2000
Heavenly Creatures,14,10,1994
Songcatcher,27,7,2001
Choke,30,10,2008
Gracie,1,6,2007
The Fly,16,7,1958
Happiness,16,10,1998
Return to the Blue Lagoon,2,8,1991
The Identical,5,9,2014
Newsies,10,4,1992
Metropolitan,3,8,1990
The Power of One,27,3,1992
Thoroughbreds,9,3,2018
Sid and Nancy,29,8,1986
Reservoir Dogs,2,9,1992
Youth,20,5,2015
The Perez Family,12,5,1995
The Way Back,21,1,2011
Chéri,8,4,2009
The Good Lie,7,11,2014
Under the Skin,14,3,2014
Utomlennye solntsem,31,8,1994
Serbuan maut 2: Berandal,7,6,2014
One Night Stand,17,9,1997
Captivity,1,3,2007
The Sum of Us,28,7,1994
Pieces of April,28,11,2003
The Dreamers,10,10,2003
Ruby Sparks,6,9,2012
Choose Me,29,8,1984
Stranger Than Paradise,4,10,1984
Pawn Sacrifice,25,9,2015
THX 1138,11,3,1971
The Hand,24,4,1981
The Sapphires,9,8,2012
Son of the Pink Panther,27,8,1993
Class of 1999,11,5,1990
Sidewalks of New York,30,11,2001
Kalifornia,3,9,1993
42nd Street,11,3,1933
The Day of the Dolphin,15,3,1974
Shanghai Surprise,29,8,1986
White Hunter Black Heart,14,9,1990
Trance,3,5,2013
The Squeeze,10,7,1987
L&apos;illusionniste,16,6,2010
Touch of Evil,23,4,1958
My All-American,13,11,2015
Leprechaun 2,8,4,1994
DysFunktional Family,4,4,2003
Wilde,17,10,1997
Wild Bill,1,12,1995
La chute de l&apos;empire américain,28,6,2018
Tarzan and the Lost City,24,4,1998
Bird,30,9,1988
Mar adentro,3,9,2004
Un prophète,26,8,2009
Zero Effect,30,1,1998
Death and the Maiden,29,3,1995
Faithful,3,4,1996
Good Time,25,8,2017
This Is Elvis,10,4,1981
The Gate II: Trespassers,17,5,1991
Mom and Dad Save the World,24,7,1992
I Love You Phillip Morris,10,2,2010
We Don&apos;t Live Here Anymore,3,9,2004
Novocaine,14,12,2001
Fauteuils d&apos;orchestre,15,2,2006
Honky Tonk Freeway,21,8,1981
Killer Joe,29,6,2012
Date with an Angel,20,11,1987
Greater,26,8,2016
Limbo,7,7,1999
State of Grace,14,9,1990
Communion,10,11,1989
Paradise Road,11,4,1997
Goodbye Lover,16,4,1999
Poison Ivy,8,5,1992
Crooked Arrows,18,5,2012
Desierto,13,4,2016
Harrison&apos;s Flowers,24,1,2001
The Dangerous Lives of Altar Boys,28,6,2002
Saul fia,11,6,2015
King of the Mountain,1,5,1981
Somewhere,3,9,2010
Clay Pigeons,25,9,1998
Billy Lynn&apos;s Long Halftime Walk,11,11,2016
The Waterdance,13,5,1992
Lady in White,22,4,1988
Everything Is Illuminated,4,11,2005
The Comedian,3,2,2017
Factory Girl,16,2,2007
The White Countess,31,3,2006
Matewan,28,8,1987
Slamma Jamma,23,3,2017
Dumbo,31,10,1941
Keeping Mum,2,12,2005
Hong hai xing dong,16,2,2018
A Boy Called Po,1,9,2017
Ararat,4,9,2002
Lianna,8,9,1983
Company Business,6,9,1991
Married Life,21,3,2008
Oscar and Lucinda,31,12,1997
The Kid,8,3,2019
2046,29,9,2004
Ernest Rides Again,12,11,1993
Paradise Now,7,9,2005
Birdy,21,12,1984
Sahara,20,1,1984
Lolita,14,1,1998
Wonder Wheel,8,12,2017
I&apos;ve Heard the Mermaids Singing,30,9,1987
Los amantes pasajeros,8,3,2013
The Devil&apos;s Double,8,9,2011
Snow Flower and the Secret Fan,30,9,2011
Thumbsucker,7,10,2005
The Ultimate Life,15,8,2018
Cecil B. Demented,2,8,2000
The House on Sorority Row,21,1,1983
Iris,18,1,2002
Funny Games,4,4,2008
The Hot Spot,26,10,1990
Radioland Murders,21,10,1994
King of the Hill,20,8,1993
From Beyond,24,10,1986
City of Hope,15,11,1991
Losin&apos; It,8,4,1983
MVP: Most Valuable Primate,11,8,2000
The Singles Ward,30,1,2002
Turn It Up,6,9,2000
A Time of Destiny,22,4,1988
Mandy,14,9,2018
Nueve reinas,31,8,2000
Dylan Dog: Dead of Night,29,4,2011
Me and Orson Welles,4,12,2009
Ninotchka,23,11,1939
Kill the Irishman,11,5,2012
The Lair of the White Worm,10,3,1989
Cool as Ice,18,10,1991
Find Me Guilty,17,3,2006
Year of the Gun,1,11,1991
I Capture the Castle,9,5,2003
Lazer Team,27,1,2016
Infamous,13,10,2006
Heathers,31,3,1989
The Rover,20,6,2014
Taegukgi hwinalrimyeo,6,2,2004
Mother and Child,2,7,2010
The R.M.,31,1,2003
Eyes of a Stranger,27,3,1981
Street Smart,20,3,1987
Groove,19,10,2000
Winter Kills,11,5,1979
The Perfect Game,1,4,2010
What Just Happened,31,10,2008
And When Did You Last See Your Father?,5,10,2007
DEFCON-4,31,5,1985
Wonderland,24,10,2003
Kafka,15,11,1991
No Man&apos;s Land,19,9,2001
Mike&apos;s Murder,9,3,1984
Sukkar banat,9,8,2007
The Mother,14,11,2003
Nuovomondo,22,9,2006
Casino Jack,28,12,2010
Les innocentes,10,2,2016
Waterland,21,8,1992
Chuck &amp; Buck,4,8,2000
The Thing Called Love,27,8,1993
A Home at the End of the World,14,10,2004
Hard Candy,28,4,2006
Hævnen,26,8,2010
Thr3e,5,1,2007
Owning Mahowny,25,9,2003
5 Flights Up,8,5,2015
Drums Along the Mohawk,10,11,1939
Appointment with Death,27,4,1988
The Hunting Party,21,9,2007
The Lord of the Rings,15,11,1978
Rampart,24,2,2012
Knight Moves,16,1,1992
The Babadook,6,6,2014
The Hanging Garden,8,5,1998
The Yards,27,4,2000
La otra conquista,1,4,1999
Princess Ka&apos;iulani,14,5,2010
Amateur,19,10,1994
Song of the Sea,10,12,2014
Tough Guys Don&apos;t Dance,18,9,1987
Duma,27,5,2005
Mirrormask,3,3,2006
Latter Days,1,7,2004
Born to Be Blue,25,7,2016
The Crossing Guard,16,11,1995
Saint Ralph,8,4,2005
Rampage,30,10,1992
The Barbarians,20,3,1987
Heaven,21,2,2002
Without Limits,11,9,1998
Bis ans Ende der Welt,12,9,1991
El espinazo del diablo,20,4,2001
Party Monster,17,10,2003
Kiss or Kill,11,9,1997
The Shape of Things,16,5,2003
Once I Was a Beehive,14,8,2015
Vampire&apos;s Kiss,16,6,1989
Rocket Science,28,9,2007
The Catcher Was a Spy,22,6,2018
Karakter,17,4,1997
Yves Saint Laurent,8,1,2014
On the Road,23,5,2012
Trees Lounge,11,10,1996
Split Decisions,11,11,1988
Guadalupe,1,12,2006
Imagine Me &amp; You,25,5,2006
Maniac Cop,13,5,1988
Apartment Zero,15,9,1989
Japanese Story,25,9,2003
Inside Deep Throat,21,4,2005
Parkland,2,10,2013
Dirty Dancing,21,8,1987
Texas Rangers,30,11,2001
"The Prize Winner of Defiance, Ohio",1,6,2007
Ruby Cairo,12,12,1992
Poison,16,8,1991
The Bronze,18,3,2016
Guinevere,12,11,1999
Powaqqatsi,2,6,1988
Night of the Creeps,22,8,1986
Two Much,1,12,1995
Blue Like Jazz,13,3,2012
The Signal,4,7,2008
The Future,17,8,2011
Down in the Valley,9,12,2005
A Tale of Love and Darkness,3,9,2015
Twelfth Night or What You Will,25,10,1996
Oorlogswinter,27,11,2008
Machine Gun Preacher,30,12,2011
Sunrise: A Song of Two Humans,4,11,1927
"Peace, Love &amp; Misunderstanding",16,8,2012
Nobel Son,5,12,2008
Mil-jeong,7,9,2016
Max,20,6,2003
Cuba,21,12,1979
Things to Do in Denver When You&apos;re Dead,1,12,1995
Madison,28,9,2005
Unsullied,28,8,2015
The One I Love,8,8,2014
Delgo,12,12,2008
Le nom des gens,24,11,2010
Amy&apos;s Orgasm,21,10,2004
Grave,15,3,2017
Preacher&apos;s Kid,29,1,2010
Bilal: A New Breed of Hero,2,2,2018
Cube,10,12,1997
Manny &amp; Lo,26,7,1996
The Two Faces of January,16,5,2014
The Grey Zone,30,11,2001
Federal Hill,24,2,1995
Death of a President,21,12,2006
By the Sea,27,11,2015
Et maintenant on va où?,14,9,2011
Prefontaine,24,1,1997
Hangin&apos; with the Homeboys,5,4,1991
Freeheld,10,2,2016
Cattle Annie and Little Britches,24,4,1981
Underneath,28,4,1995
The African Queen,21,3,1952
Joshua Then and Now,5,9,1985
Johnny Got His Gun,4,8,1971
Madeo,28,5,2009
All the Real Girls,1,8,2003
Ondine,5,3,2010
From Mexico with Love,9,10,2009
Bottle Rocket,21,2,1996
Poolhall Junkies,28,2,2003
Jimmy&apos;s Hall,30,5,2014
Steel Dawn,31,3,1988
Love Serenade,10,10,1996
"War, Inc.",13,6,2008
Bring Me the Head of Alfredo Garcia,7,8,1974
W.E.,20,1,2012
The Disappearance of Eleanor Rigby: Them,12,9,2014
The Signal,10,7,2014
Mean Creek,29,9,2004
Below,18,10,2002
The Celestine Prophecy,20,7,2006
Agora,9,10,2009
Grace of My Heart,13,9,1996
Cronos,3,12,1993
My First Mister,26,10,2001
Strangeland,2,10,1998
Ride with the Devil,5,11,1999
Les rivières pourpres,27,9,2000
Grey Owl,1,10,1999
2 Days in New York,28,3,2012
Fugitive Pieces,26,3,2009
Molière,31,1,2007
One from the Heart,11,2,1982
Remember,23,10,2015
The Night of the Hunter,27,7,1955
The D Train,8,5,2015
Play the Game,28,8,2009
Charlotte Gray,22,2,2002
The Claim,2,2,2001
The Saddest Music in the World,12,5,2005
The Thief and the Cobbler,15,7,1994
Alone Yet Not Alone,27,9,2013
Mr. Church,11,11,2016
The Secret of Kells,11,2,2009
The Caveman&apos;s Valentine,20,9,2001
Fanboys,13,2,2009
The Opposite Sex and How to Live with Them,26,3,1993
The Paperboy,7,12,2012
Tangerine,10,7,2015
Oldeuboi,21,11,2003
À bout portant,1,12,2010
Middle Men,6,8,2010
The Wicked Lady,21,4,1983
Lust in the Dust,1,3,1985
Men with Guns,27,3,1998
"Sister, Sister",9,2,1988
Cosmopolis,25,5,2012
The Go-Between,1,10,1971
Fire and Ice,26,8,1983
The Statement,27,2,2004
The Salton Sea,21,6,2002
Personal Velocity: Three Portraits,20,12,2002
The Ten,25,4,2008
Young Adam,26,9,2003
The Church,9,7,2019
Only God Forgives,22,5,2013
Panic,26,4,2001
31,16,9,2016
The Boost,23,12,1988
Anna Karenina,4,4,1997
The Toxic Avenger Part II,24,2,1989
Climax,19,9,2018
Factotum,29,4,2005
Waxwork,17,6,1988
Charly,20,9,2002
"In weiter Ferne, so nah!",9,9,1993
"Come Back to the 5 &amp; Dime Jimmy Dean, Jimmy Dean",6,4,1983
Atlas Shrugged: Part III,12,9,2014
Brigham City,30,3,2001
Beastmaster 2: Through the Portal of Time,30,8,1991
Parents,27,1,1989
My Blueberry Nights,28,11,2007
Where the Truth Lies,7,10,2005
Control,26,9,2007
Mother&apos;s Boys,18,3,1994
The Blood of Heroes,19,10,1989
Intermission,29,8,2003
Simpatico,28,1,2000
Ruby,27,3,1992
The Taking of Beverly Hills,11,10,1991
Timecode,28,4,2000
Pat Garrett &amp; Billy the Kid,23,5,1973
Broken English,16,7,2008
The Long Goodbye,8,3,1973
Diary of the Dead,22,2,2008
Meek&apos;s Cutoff,15,4,2011
Don&apos;t Look Now,18,11,1973
The Protector,11,7,1985
Rockstar,11,11,2011
Million Dollar Mystery,12,6,1987
Little Italy,24,8,2018
In the Mood,16,9,1987
March or Die,13,10,1977
Caravans,2,11,1978
The Investigator,13,9,2013
L&apos;insulte,14,9,2017
Ruby in Paradise,5,11,1993
Goya&apos;s Ghosts,10,11,2006
The Adventurer: The Curse of the Midas Box,4,7,2014
Paris,20,2,2008
Unconditional,21,9,2012
Stalingrad,10,10,2013
The Hollars,26,8,2016
Silver City,24,9,2004
Third Person,14,11,2014
Attack the Block,13,5,2011
Another Day in Paradise,22,1,1999
Casablanca,23,1,1943
Film Stars Don&apos;t Die in Liverpool,16,11,2017
The Children of Huang Shi,3,4,2008
Buried,29,9,2010
Dead Man,23,12,1995
Animal Kingdom,3,6,2010
Money for Nothing,10,9,1993
Light Sleeper,13,3,1992
Joyeux Noël,9,11,2005
Bad Moon,1,11,1996
There Be Dragons,25,3,2011
September Dawn,24,8,2007
Undiscovered,26,8,2005
Blood and Wine,21,2,1997
Crush,7,6,2002
Of Unknown Origin,25,11,1983
The Machinist,3,12,2004
Little Odessa,19,5,1995
Made in Dagenham,20,9,2010
Silk,14,9,2007
Red State,30,9,2011
Where the Heart Is,23,2,1990
Vor,13,10,1997
Osama,27,6,2003
Macbeth,13,11,2015
Valmont,6,12,1989
Fellini - Satyricon,18,9,1969
L.I.E.,29,11,2002
Miracle Mile,19,5,1989
Living in Oblivion,21,7,1995
Trois,10,3,2000
The Lords of Salem,18,4,2013
Don&apos;t Tell Her It&apos;s Me,21,9,1990
Persecuted,18,7,2014
Repentance,25,9,2014
Bee Season,23,11,2005
Banlieue 13,10,11,2004
Flawless,28,11,2008
Equilibrium,6,12,2002
Mute Witness,28,9,1995
High Life,7,11,2018
Child 44,17,4,2015
The Funeral,1,11,1996
Elephant,14,11,2003
Slacker,5,7,1991
Slow Burn,13,4,2007
Slumber Party Massacre III,7,9,1990
The Abandoned,27,4,2007
Micmacs à tire-larigot,28,10,2009
Eddie Macon&apos;s Run,25,3,1983
Hideous Kinky,13,1,1999
Robot Jox,21,11,1990
Walking and Talking,17,7,1996
Tumbleweeds,3,3,2000
Churchill,16,6,2017
Time Changer,29,12,2016
Native Son,12,12,1986
8 Million Ways to Die,25,4,1986
Personal Shopper,24,2,2017
The Good German,19,1,2007
The Fourth War,23,3,1990
Another Earth,12,10,2011
Saints and Soldiers,25,3,2005
Le passé,17,5,2013
The Neon Demon,8,7,2016
Le Petit Prince,8,1,2016
At Play in the Fields of the Lord,6,12,1991
The Secrets of Jonathan Sperry,18,9,2009
Kansas City,15,5,1996
The Offspring,25,9,1987
Everybody Wins,19,1,1990
South Central,18,9,1992
Andhadhun,5,10,2018
Kelly&apos;s Heroes,23,6,1970
Give My Regards to Broad Street,28,11,1984
El Chicano,3,5,2019
Northfork,1,8,2003
Infinitely Polar Bear,19,6,2015
The Man from Elysian Fields,28,11,2002
A Prayer for the Dying,13,5,1987
Down by Law,25,9,1986
The Joneses,23,4,2010
Toni Erdmann,14,7,2016
Donnie Darko,19,1,2001
The Diary of a Teenage Girl,28,8,2015
Julieta,8,4,2016
Nochnoy dozor,8,7,2004
City of Industry,14,3,1997
Hors de prix,13,12,2006
Jane Got a Gun,29,1,2016
La cité des enfants perdus,17,5,1995
Stepfather II,3,11,1989
Kon-Tiki,24,8,2012
Being Human,6,5,1994
Murderball,5,8,2005
A Midnight Clear,24,4,1992
Girlfight,6,10,2000
Dogville,21,5,2003
Destroyer,27,12,2018
The Eiger Sanction,21,5,1975
Josh and S.A.M.,24,11,1993
The Last of the Finest,9,3,1990
The Gingerbread Man,23,1,1998
Trust the Man,1,9,2006
Hamlet,23,6,2000
Veronica Guerin,11,7,2003
Your Sister&apos;s Sister,29,6,2012
The Garbage Pail Kids Movie,7,4,1988
Solarbabies,26,11,1986
Nicholas Nickleby,27,6,2003
Citizen Kane,5,9,1941
"New York, I Love You",16,10,2009
A Ghost Story,27,7,2017
Brain Dead,19,1,1990
Den skaldede frisør,6,9,2012
Gun Shy,9,3,2000
Pirates,8,5,1986
Spider,13,11,2002
How I Got Into College,19,5,1989
Get Crazy,5,8,1983
I Saw the Light,1,4,2016
Marci X,22,8,2003
Chacun cherche son chat,3,4,1996
Suicide Kings,25,9,1998
When Time Ran Out...,28,3,1980
The Bad Lieutenant: Port of Call - New Orleans,11,12,2009
Best of the Best,10,11,1989
Stoker,1,3,2013
Death Wish V: The Face of Death,14,1,1994
A Home of Our Own,5,11,1993
Sweet Land,31,7,2008
Even Cowgirls Get the Blues,20,5,1994
Steel,15,8,1997
Cutter&apos;s Way,10,2,1982
Take Shelter,10,11,2011
Little Nikita,18,3,1988
We Need to Talk About Kevin,21,10,2011
The Broken Hearts Club: A Romantic Comedy,20,10,2000
Flipped,10,9,2010
Carnosaur,21,5,1993
A Better Life,28,7,2011
Tune in Tomorrow...,2,11,1990
Stone,22,10,2010
Hurlyburly,25,12,1998
Harry Brown,11,11,2009
The Last Tycoon,19,11,1976
Tusk,19,9,2014
A Quiet Passion,7,4,2017
Bitter Moon,23,9,1992
The Mighty Macs,21,10,2011
The Kiss,14,10,1988
Baby It&apos;s You,4,3,1983
Legend,9,10,2015
Breaking In,13,10,1989
Only Lovers Left Alive,25,12,2013
Cop,11,3,1988
Vibes,5,8,1988
The Night We Never Met,30,4,1993
A Sound of Thunder,2,9,2005
Permanent Record,22,4,1988
The Proposition,6,10,2005
Le déclin de l&apos;empire américain,19,6,1986
The Iceman,2,5,2013
Spellbinder,23,9,1988
"Happy, Texas",3,12,1999
Two Girls and a Guy,29,1,1999
Crazy in Alabama,22,10,1999
Margot at the Wedding,21,2,2008
The Clan of the Cave Bear,17,1,1986
Yume,25,5,1990
Nate and Hayes,18,11,1983
Demolition,8,4,2016
Oliver Twist,24,9,2005
Marriage Story,6,12,2019
Bad Lieutenant,17,12,1992
Surviving Picasso,20,9,1996
Bubba Ho-Tep,10,10,2003
The Immigrant,23,5,2014
Night on Earth,12,12,1991
The Dressmaker,29,10,2015
Sphinx,11,2,1981
Beyond the Mat,17,3,2000
Trick,23,7,1999
Brick,14,4,2006
De rouille et d&apos;os,17,5,2012
Ravenous,19,3,1999
Auto Focus,1,11,2002
Raising Victor Vargas,2,5,2003
The Sheltering Sky,30,11,1990
The Wackness,1,8,2008
The Wizard of Oz,25,8,1939
I&apos;m Not Ashamed,2,3,2018
The Maltese Falcon,18,10,1941
Othello,19,1,1996
The Nutcracker,24,11,1993
Videodrome,4,2,1983
Låt den rätte komma in,24,10,2008
Mallrats,20,10,1995
Paterson,17,11,2016
The Quiet Earth,18,10,1985
A Dog of Flanders,27,8,1999
Mrs. Parker and the Vicious Circle,23,11,1994
Blood Simple,18,1,1985
Shadow Conspiracy,31,1,1997
Heartbeeps,18,12,1981
The Endless Summer 2,3,6,1994
Bamboozled,20,10,2000
Jem and the Holograms,23,10,2015
Oldboy,27,12,2013
But I&apos;m a Cheerleader,11,8,2000
La vie d&apos;Adèle,9,10,2013
Transsiberian,24,10,2008
Shattered Glass,26,11,2003
Smilla&apos;s Sense of Snow,13,2,1997
Das weiße Band - Eine deutsche Kindergeschichte,24,9,2009
Perfume: The Story of a Murderer,14,9,2006
Le Week-End,6,12,2013
The East,28,6,2013
The Women,1,9,1939
Showdown in Little Tokyo,23,8,1991
La doublure,29,3,2006
The Resurrection of Gavin Stone,20,1,2017
"Yes, Giorgio",24,9,1982
Collide,4,8,2016
The Fall,30,5,2008
The Company,7,5,2004
Pecker,9,10,1998
Sky Bandits,10,7,1987
She&apos;s the Man,17,3,2006
Double Dragon,4,11,1994
Redbelt,9,5,2008
At Close Range,18,4,1986
Downtown,12,1,1990
Bon voyage,16,4,2003
Buffalo &apos;66,26,6,1998
I&apos;m in Love with a Church Girl,6,12,2013
BloodRayne,6,1,2006
Arctic,31,1,2019
Lawnmower Man 2: Beyond Cyberspace,12,1,1996
Go Fish,8,7,1994
The Stupids,9,8,1996
The Disappointments Room,21,10,2016
The Prisoner of Zenda,17,8,1979
Farewell to the King,3,3,1989
Gojira,3,11,1954
The Basketball Diaries,21,4,1995
You Kill Me,13,7,2007
Tulip Fever,1,9,2017
The Homesman,18,5,2014
Never Let Me Go,11,2,2011
LBJ,3,11,2017
Jefferson in Paris,31,3,1995
Suspiria,2,11,2018
The Lost City,26,5,2006
"Silent Night, Deadly Night",9,11,1984
Desert Hearts,7,3,1986
Rumble Fish,21,10,1983
Moskva slezam ne verit,11,2,1980
The King of Comedy,18,2,1983
Impulse,28,9,1984
Red Rock West,14,5,1993
Frozen River,5,9,2008
Full Frontal,2,8,2002
Truth,30,10,2015
Impulse,6,4,1990
Carnage,18,11,2011
King of New York,5,1,1991
Captive,18,9,2015
Calendar Girl,3,9,1993
Girl in Progress,10,8,2012
N-Secure,15,10,2010
Todos lo saben,9,5,2018
Who Dares Wins,26,8,1982
Samsara,23,8,2012
Junebug,16,9,2005
Yip Man 3,31,12,2015
Blind Fury,16,3,1990
Bobby Jones: Stroke of Genius,30,4,2004
Desperate Hours,5,10,1990
The Pyramid,5,12,2014
Dr. Jekyll and Ms. Hyde,8,12,1995
Est - Ouest,1,9,1999
How to Lose Friends &amp; Alienate People,3,10,2008
Unforgettable,23,2,1996
Saving Christmas,14,11,2014
Gleaming the Cube,13,1,1989
Heat,13,3,1987
Filly Brown,19,4,2013
Running on Empty,9,9,1988
Letters to God,9,4,2010
eXistenZ,14,4,1999
Airborne,17,9,1993
In the Company of Men,1,8,1997
Home Run,19,4,2013
Rappin&apos;,10,5,1985
Another You,26,7,1991
The Hudsucker Proxy,11,3,1994
No Man&apos;s Land,23,10,1987
Shallow Grave,6,1,1995
Tadpole,23,8,2002
Sleeper,17,12,1973
Tsotsi,23,12,2005
Isn&apos;t She Great,28,1,2000
Basquiat,9,8,1996
Before I Go to Sleep,14,11,2014
Miss Potter,5,1,2007
Rock the Kasbah,13,11,2015
Fright Night Part 2,19,5,1989
The Last Days of Disco,12,6,1998
Bullies,29,8,1986
Running Brave,4,11,1983
Original Gangstas,10,5,1996
Illegal Tender,24,8,2007
Malone,1,5,1987
Sunshine State,12,7,2002
Beautiful,29,9,2000
The Public Eye,16,10,1992
CrissCross,8,5,1992
Jawbreaker,19,2,1999
Blindness,12,9,2008
Chloe,10,3,2010
Speed Zone,21,4,1989
Mr. Wonderful,15,10,1993
Rosewater,27,11,2014
Mean Streets,14,10,1973
The Favor,29,4,1994
Sgt. Stubby: An American Hero,13,4,2018
Two Lovers,19,11,2008
The Big Kahuna,19,5,2000
Resurrecting the Champ,24,8,2007
Les frères Sisters,19,9,2018
Silent Fall,28,10,1994
The Limey,4,8,1999
La piel que habito,2,9,2011
Vertigo,22,5,1958
Anything Else,19,9,2003
Another Year,5,11,2010
The Fifth Estate,18,10,2013
Zoot Suit,1,1,1982
At Long Last Love,1,3,1975
Only the Strong,27,8,1993
Romeo Is Bleeding,4,2,1994
What We Do in the Shadows,19,6,2014
My Boyfriend&apos;s Back,6,8,1993
Squanto: A Warrior&apos;s Tale,28,10,1994
Atlas Shrugged II: The Strike,12,10,2012
Harsh Times,10,11,2006
The Work and the Glory,21,1,2005
Starchaser: The Legend of Orin,22,11,1985
Near Dark,8,1,1988
Blue Sky,16,9,1994
Wrong Is Right,14,5,1982
Next Stop Wonderland,21,8,1998
Born American,19,12,1986
The To Do List,1,11,2013
First Reformed,18,5,2018
The F Word,20,8,2014
The Lemon Sisters,31,8,1990
&apos;Til There Was You,30,5,1997
Disobedience,27,4,2018
Foreign Correspondent,16,8,1940
Heaven&apos;s Gate,24,4,1981
The Wraith,21,11,1986
Major League: Back to the Minors,17,4,1998
8 Heads in a Duffel Bag,18,4,1997
Physical Evidence,27,1,1989
Repo Man,2,3,1984
The Runaways,8,4,2010
The New Adventures of Pippi Longstocking,29,7,1988
Old Gringo,8,9,1989
Elegy,18,4,2008
Wish I Was Here,25,7,2014
Dead Heat,6,5,1988
We Are Your Friends,26,8,2015
Their Finest,14,4,2017
The Trigger Effect,30,8,1996
Phoenix Forgotten,21,4,2017
The Bride,16,8,1985
Pinocchio,11,10,2002
Jimmy Hollywood,30,3,1994
The Brother from Another Planet,14,9,1984
Bad Company,20,1,1995
The Pursuit of D.B. Cooper,13,11,1981
Warlock,15,4,1959
Midnight Special,1,4,2016
The Gun in Betty Lou&apos;s Handbag,21,8,1992
A Monster Calls,9,12,2016
Then She Found Me,9,5,2008
The Cold Light of Day,25,5,2012
Allan Quatermain and the Lost City of Gold,30,1,1987
Sweet Hearts Dance,23,9,1988
Jekyll and Hyde... Together Again,1,10,1982
Lost Highway,15,1,1997
Bound,4,10,1996
Barb Wire,3,5,1996
Better Luck Tomorrow,25,4,2003
Max Steel,18,11,2016
Critters 2,29,4,1988
The Door in the Floor,6,8,2004
Earth Girls Are Easy,12,5,1989
Yanks,2,11,1979
Charlie Bartlett,22,2,2008
Des hommes et des dieux,8,9,2010
Yip Man 4,20,12,2019
Playing by Heart,22,1,1999
Peaceful Warrior,23,6,2006
Memories of Me,7,10,1988
Ace in the Hole,4,7,1951
P2,9,11,2007
I&apos;m Not There,28,11,2007
Irrational Man,7,8,2015
Please Give,18,6,2010
Bottle Shock,5,9,2008
Replicas,23,11,2018
Playing God,17,10,1997
Peter&apos;s Friends,13,11,1992
Secretary,11,10,2002
Good Bye Lenin!,13,2,2003
Tank Girl,31,3,1995
Denial,21,10,2016
The Visual Bible: The Gospel of John,14,11,2003
Big Bully,26,1,1996
The Hero,9,6,2017
Twin Peaks: Fire Walk with Me,3,6,1992
Dancer in the Dark,1,9,2000
A Day Without a Mexican,21,5,2004
The Water Diviner,26,12,2014
Lovely &amp; Amazing,2,8,2002
Red Scorpion,21,4,1989
Sweet and Lowdown,10,3,2000
A Hologram for the King,28,4,2016
Swiss Army Man,1,7,2016
Stronger,29,9,2017
Detroit Rock City,13,8,1999
The Book of Henry,23,6,2017
Left Behind,2,2,2001
The Lunchbox,20,9,2013
Flash of Genius,3,10,2008
The Omen,25,6,1976
Catch a Fire,27,10,2006
Yellowbeard,28,7,1983
Trenchcoat,11,3,1983
Goal!,30,9,2005
Meet the Deedles,27,3,1998
Melvin and Howard,19,9,1980
Brian Banks,9,8,2019
Inside Job,12,11,2010
Gotti,14,6,2018
The Mean Season,15,2,1985
Dark Angel,28,9,1990
On the Line,26,10,2001
Bogus,6,9,1996
Bride of Frankenstein,6,5,1935
The Company of Wolves,21,9,1984
Simply Irresistible,5,2,1999
Zwartboek,14,9,2006
Pumpkinhead,13,1,1989
Willie &amp; Phil,15,8,1980
Run,1,2,1991
Johnny English Strikes Again,21,9,2018
The Conversation,12,4,1974
The Adventures of Pluto Nash,16,8,2002
Beyond Borders,24,10,2003
Spartan,12,3,2004
The Railway Man,26,12,2013
Bright Star,6,11,2009
Italiensk for begyndere,8,12,2000
All Night Long,6,3,1981
Anonymous,24,2,2012
McHale&apos;s Navy,18,4,1997
Dangerous Beauty,20,2,1998
Tolkien,10,5,2019
In the Name of the King: A Dungeon Siege Tale,29,11,2007
Mumford,24,9,1999
Graffiti Bridge,2,11,1990
Snowpiercer,6,12,2013
Miss March,13,3,2009
Zimna wojna,8,6,2018
Stealing Beauty,29,3,1996
Sunset,29,4,1988
Made in Heaven,6,11,1987
Deception,25,4,2008
River&apos;s Edge,8,5,1987
The Lookout,30,3,2007
