Movie,Date,Month,Year
Sideways,22,10,2004
World Trade Center,17,11,2006
Hot Shots!,31,7,1991
The First Purge,4,7,2018
The Kid,7,7,2000
Swordfish,8,6,2001
The Best Little Whorehouse in Texas,23,7,1982
Private Benjamin,10,10,1980
Act of Valor,23,3,2012
Grumpier Old Men,22,12,1995
Born on the Fourth of July,5,1,1990
Blade,21,8,1998
Boomerang,1,7,1992
Kill Bill: Vol. 1,10,10,2003
The Golden Compass,5,12,2007
Big Momma&apos;s House 2,27,1,2006
Star Trek: Insurrection,11,12,1998
Changing Lanes,12,4,2002
102 Dalmatians,22,11,2000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10,10,2014
The Mexican,2,3,2001
Kangaroo Jack,17,1,2003
End of Days,24,11,1999
The Secret of My Success,10,4,1987
Dante&apos;s Peak,7,2,1997
Waiting to Exhale,22,12,1995
The Bounty Hunter,26,3,2010
Angel Has Fallen,23,8,2019
Race to Witch Mountain,13,3,2009
Hacksaw Ridge,3,11,2016
Coach Carter,14,1,2005
Lights Out,22,7,2016
Hidalgo,5,3,2004
Mirror Mirror,20,4,2012
The American President,17,11,1995
Stuart Little 2,19,7,2002
Pitch Perfect,5,10,2012
Friday the 13th,13,2,2009
Wolf,17,6,1994
Exodus: Gods and Kings,12,12,2014
About Schmidt,3,1,2003
Now You See Me 2,10,6,2016
Barbershop 2: Back in Business,6,2,2004
Think Like a Man Too,20,6,2014
Jack the Giant Slayer,1,3,2013
The Visit,2,10,2015
Lethal Weapon,6,3,1987
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,1,2,2008
Step Up,11,8,2006
A Nightmare on Elm Street,30,4,2010
Rising Sun,30,7,1993
The Sorcerer&apos;s Apprentice,24,7,2010
Forgetting Sarah Marshall,18,4,2008
The Holiday,16,2,2007
Dave,7,5,1993
Saw IV,26,10,2007
Madea&apos;s Family Reunion,24,2,2006
Tango &amp; Cash,22,12,1989
The Time Traveler&apos;s Wife,25,9,2009
The Fox and the Hound,10,7,1981
She&apos;s All That,29,1,1999
Miami Vice,28,7,2006
Risky Business,5,8,1983
A Fish Called Wanda,14,10,1988
Hope Springs,8,8,2012
The Fifth Element,7,5,1997
Kiss the Girls,3,10,1997
Thunderball,30,12,1965
Jingle All the Way,22,11,1996
Three Kings,1,10,1999
Fantasia 2000,16,6,2000
Poseidon,12,5,2006
Coyote Ugly,4,8,2000
Harlem Nights,17,11,1989
Get Him to the Greek,4,6,2010
The Devil&apos;s Advocate,17,10,1997
Mission to Mars,10,3,2000
Prisoners,4,10,2013
The Shaggy Dog,10,3,2006
Friday Night Lights,8,10,2004
Misery,30,11,1990
The Cell,18,8,2000
Hope Floats,29,5,1998
Tooth Fairy,22,1,2010
The Blue Lagoon,2,7,1980
Bride Wars,9,1,2009
Total Recall,17,8,2012
Far and Away,22,5,1992
Chariots of Fire,15,5,1981
Why Did I Get Married Too?,2,4,2010
Vacation,7,8,2015
Dawn of the Dead,19,3,2004
Behind Enemy Lines,30,11,2001
Courage Under Fire,12,7,1996
The Grand Budapest Hotel,6,3,2014
The Last Boy Scout,13,12,1991
The Stepford Wives,11,6,2004
Hellboy,2,4,2004
The Godfather: Part II,18,12,1974
Death Becomes Her,31,7,1992
Sister Act 2: Back in the Habit,10,12,1993
My Big Fat Greek Wedding 2,25,3,2016
Planes: Fire &amp; Rescue,18,7,2014
The Specialist,7,10,1994
Blood Diamond,8,12,2006
The Shack,3,3,2017
Moulin Rouge!,9,11,2001
Dragnet,26,6,1987
Pet Sematary,21,4,1989
Memoirs of a Geisha,20,10,2006
The Cider House Rules,7,1,2000
Boyz n the Hood,12,7,1991
La vita è bella,20,12,1997
The Animal,1,6,2001
Saw V,24,10,2008
Willow,20,5,1988
Once Upon a Time in Mexico,12,9,2003
Friends with Benefits,2,9,2011
Saw,29,10,2004
Romeo Must Die,22,3,2000
Be Cool,4,3,2005
The Curse of the Were-Rabbit,7,10,2005
Fantastic Four,7,8,2015
Primal Fear,3,4,1996
Just Married,1,2,2004
Me Before You,3,6,2016
Edward Scissorhands,14,12,1990
Dracula Untold,17,10,2014
The Big Chill,30,9,1983
White Noise,7,1,2005
Darkest Hour,19,1,2018
Drumline,13,12,2002
Joy,19,2,2016
Tombstone,25,12,1993
The Shallows,5,8,2016
Why Did I Get Married?,12,10,2007
The Hateful Eight,30,12,2015
La Bamba,24,7,1987
The Hundred-Foot Journey,19,9,2014
The Woman in Black,3,2,2012
The Abyss,9,8,1989
Horrible Bosses 2,5,12,2014
Tag,15,6,2018
"Three Billboards Outside Ebbing, Missouri",8,3,2018
New Year&apos;s Eve,9,12,2011
Crash,6,5,2005
The Count of Monte Cristo,25,1,2002
What Men Want,8,2,2019
King Kong,17,12,1976
Diary of a Wimpy Kid: Rodrick Rules,25,3,2011
Four Weddings and a Funeral,13,5,1994
RoboCop,17,7,1987
Gandhi,17,2,1983
The Omen,6,6,2006
Final Destination 3,10,2,2006
The Recruit,31,1,2003
13 Hours,12,2,2016
Unfaithful,10,5,2002
Message in a Bottle,12,2,1999
Varsity Blues,15,1,1999
Sweeney Todd: The Demon Barber of Fleet Street,21,12,2007
Forces of Nature,19,3,1999
My Cousin Vinny,13,3,1992
Blow,6,4,2001
Letters to Juliet,14,5,2010
The Phantom of the Opera,10,12,2004
Broadcast News,25,12,1987
The Strangers,30,5,2008
Star Trek V: The Final Frontier,9,6,1989
Amadeus,19,9,1984
American Made,25,8,2017
Enemy at the Gates,14,3,2001
DragonHeart,31,5,1996
Like Mike,3,7,2002
A Cinderella Story,16,7,2004
Sneakers,11,9,1992
My Bloody Valentine,16,1,2009
The Grey,27,1,2012
Sleeping Beauty,29,1,1959
Finding Neverland,29,10,2004
Atomic Blonde,28,7,2017
The China Syndrome,16,3,1979
Resident Evil: Apocalypse,10,9,2004
Home on the Range,2,4,2004
Resident Evil: Extinction,27,9,2007
Sicario: Day of the Soldado,6,7,2018
Evita,10,1,1997
Little Women,21,12,1994
Breakdown,2,5,1997
Angels in the Outfield,15,7,1994
Natural Born Killers,26,8,1994
Overboard,4,5,2018
Serendipity,5,10,2001
Hot Tub Time Machine,26,3,2010
A View to a Kill,24,5,1985
K-PAX,26,10,2001
If I Stay,22,8,2014
The Tuxedo,27,9,2002
Music and Lyrics,14,2,2007
Jack Ryan: Shadow Recruit,7,2,2014
The Huntsman: Winter&apos;s War,8,4,2016
Peter Pan,18,12,2003
The Dilemma,14,1,2011
Miss Congeniality 2: Armed &amp; Fabulous,13,5,2005
Gemini Man,11,10,2019
Speed 2: Cruise Control,13,6,1997
Firewall,10,2,2006
I Feel Pretty,31,8,2018
Date Movie,17,2,2006
Men of Honor,10,11,2000
Isn&apos;t It Romantic,13,2,2019
About Last Night,28,2,2014
Addams Family Values,19,11,1993
Lady Bird,23,2,2018
The Deer Hunter,23,2,1979
Diary of a Wimpy Kid: Dog Days,3,8,2012
Michael Clayton,12,10,2007
Cobra,23,5,1986
Sleepers,18,10,1996
The Game,12,9,1997
Kate &amp; Leopold,25,12,2001
Nanny McPhee,21,10,2005
Tyler Perry&apos;s Boo 2! A Madea Halloween,20,10,2017
First Blood,22,10,1982
Savages,14,9,2012
Warcraft,10,6,2016
Kingdom of Heaven,26,8,2005
Jupiter Ascending,13,3,2015
Munich,6,1,2006
Hard to Kill,9,2,1990
Poltergeist,29,5,2015
The Kingdom,28,9,2007
New Jack City,8,3,1991
Into the Storm,8,8,2014
In Good Company,14,1,2005
Snatched,12,5,2017
The Rainmaker,21,11,1997
Walking Tall,2,4,2004
The Breakfast Club,15,2,1985
Gangster Squad,11,1,2013
The Full Monty,29,8,1997
"Greystoke: The Legend of Tarzan, Lord of the Apes",30,3,1984
Mike and Dave Need Wedding Dates,8,7,2016
Marked for Death,5,10,1990
Made of Honor,1,5,2008
Blended,30,5,2014
The Enforcer,22,12,1976
Malice,1,10,1993
It&apos;s a Mad Mad Mad Mad World,7,11,1963
Black Rain,22,9,1989
Romeo + Juliet,1,11,1996
Full Metal Jacket,10,7,1987
Underworld: Rise of the Lycans,23,1,2009
The Replacements,11,8,2000
A Nightmare on Elm Street 3: Dream Warriors,27,2,1987
Lawrence of Arabia,11,12,1962
Timecop,16,9,1994
xXx: Return of Xander Cage,27,1,2017
Cop Out,26,2,2010
Cop Land,15,8,1997
The Bridge on the River Kwai,11,10,1957
All Eyez on Me,16,6,2017
First Man,19,10,2018
Den of Thieves,2,2,2018
Frequency,28,4,2000
Convoy,24,8,1978
Foul Play,14,7,1978
Red Dawn,21,11,2012
We Are Marshall,22,12,2006
The Artist,11,5,2012
Cats &amp; Dogs: The Revenge of Kitty Galore,30,7,2010
Need for Speed,14,3,2014
Under the Tuscan Sun,26,9,2003
City Slickers II: The Legend of Curly&apos;s Gold,10,6,1994
West Side Story,18,10,1961
Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan,17,7,1999
License to Wed,12,10,2007
The Lovely Bones,2,7,2010
The Gift,11,3,2016
Diamonds Are Forever,30,12,1971
Wall Street,11,12,1987
Soul Surfer,8,4,2011
Tears of the Sun,7,3,2003
Always,22,12,1989
Wag the Dog,9,1,1998
Prom Night,11,4,2008
The Age of Adaline,26,6,2015
Step Up 3D,13,8,2010
Widows,7,12,2018
"Welcome Home, Roscoe Jenkins",8,2,2008
Casino,22,11,1995
Uncle Drew,29,6,2018
Final Destination 5,12,8,2011
Beverly Hills Cop III,25,5,1994
Krampus,12,12,2015
The Lizzie McGuire Movie,2,5,2003
Teenage Mutant Ninja Turtles III,19,3,1993
The Unborn,9,1,2009
Max,26,6,2015
Time Bandits,16,7,1981
Gosford Park,18,1,2002
Secondhand Lions,19,9,2003
Peggy Sue Got Married,10,10,1986
Mannequin,13,2,1987
Pale Rider,28,6,1985
About a Boy,22,8,2002
Truth or Dare,11,5,2018
Gremlins 2: The New Batch,15,6,1990
Three Days of the Condor,25,9,1975
High Crimes,5,4,2002
Bandits,12,10,2001
Pee-wee&apos;s Big Adventure,9,8,1985
Hanna,3,6,2011
Orange County,11,1,2002
Heartbreakers,23,3,2001
Swiss Family Robinson,21,12,1960
The Master of Disguise,2,8,2002
Blue Crush,16,8,2002
The Water Horse,10,1,2008
Paddington 2,12,1,2018
Reds,25,12,1981
The Fly,15,8,1986
Pretty in Pink,28,2,1986
Ghost in the Shell,31,3,2017
Bill &amp; Ted&apos;s Excellent Adventure,17,2,1989
Little Nicky,10,11,2000
Pleasantville,23,10,1998
The Expendables 3,15,8,2014
Duplicity,20,3,2009
Body of Lies,10,10,2008
Dead Man Walking,2,2,1996
Jagged Edge,4,10,1985
Burlesque,24,12,2010
Joe Versus the Volcano,9,3,1990
Crazy Heart,5,2,2010
Nobody&apos;s Fool,13,1,1995
Hocus Pocus,16,7,1993
The Texas Chainsaw Massacre: The Beginning,6,10,2006
Benji,31,5,1974
Conan the Barbarian,15,4,1982
Out for Justice,12,4,1991
Jackie Brown,25,12,1997
30 Days of Night,19,10,2007
Gridiron Gang,15,9,2006
Epic Movie,26,1,2007
Hitman,21,11,2007
Blind Date,27,3,1987
Evolution,8,6,2001
City Heat,7,12,1984
47 Ronin,25,12,2013
Last Holiday,13,1,2006
Red Dawn,10,8,1984
The Terminator,26,10,1984
Pride &amp; Prejudice,16,9,2005
Midnight Run,20,7,1988
Surrogates,25,9,2009
Rock of Ages,13,7,2012
Sex Tape,25,7,2014
Nerve,12,8,2016
Spy Kids 4: All the Time in the World,9,9,2011
On Deadly Ground,18,2,1994
The Great Mouse Detective,2,7,1986
The Ghost and the Darkness,11,10,1996
Happy Gilmore,16,2,1996
Harold &amp; Kumar Escape from Guantanamo Bay,25,4,2008
It Could Happen to You,29,7,1994
St. Elmo&apos;s Fire,28,6,1985
El laberinto del fauno,11,10,2006
Red Riding Hood,11,3,2011
How Stella Got Her Groove Back,14,8,1998
The AristoCats,24,12,1970
Philomena,1,11,2013
August: Osage County,10,1,2014
Autumn in New York,11,8,2000
Sky Captain and the World of Tomorrow,17,9,2004
Mars Attacks!,13,12,1996
Bedazzled,20,10,2000
Wild,19,12,2014
All That Jazz,20,12,1979
The Nativity Story,1,12,2006
The Dead Pool,13,7,1988
Junior,23,11,1994
Jeepers Creepers,31,8,2001
The Heartbreak Kid,5,10,2007
The Brave One,14,9,2007
Rear Window,1,9,1954
Bounce,17,11,2000
Kiss of the Dragon,6,7,2001
My Favorite Martian,12,2,1999
Notorious,16,1,2009
Risen,19,2,2016
16 Blocks,3,3,2006
The Family,20,9,2013
Matchstick Men,12,9,2003
Best Friends,17,12,1982
Uptown Girls,15,8,2003
Clockstoppers,29,3,2002
Carlito&apos;s Way,12,11,1993
The Getaway,16,12,1972
In the Bedroom,8,2,2002
The Boy,11,3,2016
Alpha,17,8,2018
The Theory of Everything,27,3,2015
Dirty Harry,23,12,1971
The Pink Panther 2,6,2,2009
What a Girl Wants,4,4,2003
Set It Off,6,11,1996
Derailed,11,11,2005
Hanging Up,18,2,2000
Walking with Dinosaurs 3D,31,1,2014
Mile 22,17,8,2018
Mortal Kombat: Annihilation,21,11,1997
Mad Max Beyond Thunderdome,8,8,1985
Step Up Revolution,3,8,2012
Selena,21,3,1997
American Assassin,22,9,2017
Dragon: The Bruce Lee Story,7,5,1993
Ultimo tango a Parigi,15,12,1972
Commando,4,10,1985
Fletch Lives,17,3,1989
Ouija: Origin of Evil,28,10,2016
K-19: The Widowmaker,19,7,2002
Pan,9,10,2015
For Love of the Game,17,9,1999
The Doors,1,3,1991
The Number 23,23,2,2007
Honeymoon in Vegas,28,8,1992
Carrie,22,11,2013
Frankenweenie,12,10,2012
The Flintstones in Viva Rock Vegas,28,4,2000
Money Train,22,11,1995
Drive,16,9,2011
Texas Chainsaw 3D,4,1,2013
Inferno,14,10,2016
The Favourite,21,12,2018
Like Father Like Son,2,10,1987
The Foreigner,6,10,2017
Eternal Sunshine of the Spotless Mind,19,3,2004
Monster,30,1,2004
Hot Pursuit,8,5,2015
Concussion,25,12,2015
Jack Frost,11,12,1998
Adventures in Babysitting,3,7,1987
Man on the Moon,22,12,1999
Thirteen Days,12,1,2001
The 6th Day,17,11,2000
Hostage,11,3,2005
Mississippi Burning,27,1,1989
Street Fighter,23,12,1994
Fireproof,26,9,2008
Semi-Pro,29,2,2008
Heroes,17,11,1977
The Spy Who Dumped Me,3,8,2018
I Spy,1,11,2002
The Constant Gardener,31,8,2005
Flags of Our Fathers,20,10,2006
Devil,24,9,2010
R.I.P.D.,19,7,2013
