Movie_Title,ListOfCertificate
The Lost World: Jurassic Park,PG-13
Logan,"TV-MA,R"
Ratatouille,"TV-PG,G"
How to Train Your Dragon 2,PG
Iron Man 2,"TV-14,PG-13"
Men in Black 3,PG-13
Ant-Man and the Wasp,PG-13
Hancock,"R,PG-13"
The Martian,"TV-14,PG-13"
The Incredibles,"TV-PG,PG"
Fast Five,PG-13
Sing,"TV-G,TV-PG,PG"
Thor: The Dark World,"TV-14,PG-13"
Kung Fu Panda,"TV-PG,PG"
Star Wars: Episode II - Attack of the Clones,"TV-PG,PG"
Moana,"TV-PG,PG"
Fantastic Beasts: The Crimes of Grindelwald,"PG-13,PG-13"
Big Hero 6,"TV-G,TV-PG,PG"
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13
Justice League,PG-13
Man of Steel,"TV-PG,PG-13"
Kung Fu Panda 2,"TV-G,TV-PG,PG"
The Sixth Sense,"PG-13,TV-PG"
Doctor Strange,PG-13
Ice Age: The Meltdown,"TV-G,TV-PG,PG"
The Hunger Games: Mockingjay - Part 2,PG-13
Forrest Gump,"TV-PG,PG-13"
Detective Chinatown 3,"R,R"
Mission: Impossible - Rogue Nation,PG-13
The Hunger Games,PG-13
The Wandering Earth,TV-MA
Interstellar,"TV-14,PG-13,TV-PG"
Mission: Impossible - Ghost Protocol,PG-13
The Twilight Saga: Eclipse,PG-13
It,R
Dawn of the Planet of the Apes,PG-13
The Twilight Saga: New Moon,PG-13
The Twilight Saga: Breaking Dawn - Part 1,PG-13
Transformers,PG-13
The Amazing Spider-Man 2,"TV-PG,PG-13"
Captain America: The Winter Soldier,PG-13
Gravity,PG-13
F9: The Fast Saga,PG-13
Up,"TV-G,PG"
Ne Zha,"TV-Y7,TV-PG,TV-Y7-FV"
The Matrix Reloaded,R
Suicide Squad,"TV-14,PG-13"
Madagascar 3: Europe's Most Wanted,"TV-G,TV-PG,PG"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","TV-PG,PG"
The Hunger Games: Mockingjay - Part 1,PG-13
X-Men: Days of Future Past,PG-13
Shrek Forever After,PG
Monsters University,G
No Time to Die,PG-13
The Amazing Spider-Man,"TV-PG,TV-PG,TV-14,PG-13"
Guardians of the Galaxy,"TV-14,PG-13"
Star Wars: Episode IV - A New Hope,"TV-PG,PG"
Maleficent,PG
Deadpool,"TV-MA,R"
Fast & Furious Presents: Hobbs & Shaw,PG-13
Deadpool 2,R
The Da Vinci Code,PG-13
Spider-Man 2,"TV-PG,PG-13"
Fast & Furious 6,PG-13
Indiana Jones and the Kingdom of the Crystal Skull,PG-13
2012,PG-13
Mission: Impossible - Fallout,PG-13
E.T. the Extra-Terrestrial,"TV-PG,PG,PG"
Harry Potter and the Prisoner of Azkaban,"TV-PG,PG"
Pirates of the Caribbean: Dead Men Tell No Tales,PG-13
Fantastic Beasts and Where to Find Them,"TV-PG,PG-13"
Coco,"TV-G,TV-PG,PG"
Shrek the Third,"TV-G,PG"
Jumanji: The Next Level,PG-13
Wonder Woman,PG-13
Spider-Man,"TV-PG,TV-14,PG-13"
"Hi, Mom",
Independence Day,"TV-14,PG-13"
The Twilight Saga: Breaking Dawn - Part 2,PG-13
Thor: Ragnarok,PG-13
Inception,"TV-14,PG-13"
Venom,"TV-MA,PG-13"
Wolf Warrior 2,
Transformers: Revenge of the Fallen,"TV-MA,PG-13,PG-13"
The Secret Life of Pets,"TV-G,PG"
Harry Potter and the Chamber of Secrets,"TV-PG,TV-G,PG,PG"
Batman v Superman: Dawn of Justice,"PG-13,R"
Ice Age: Continental Drift,"TV-G,TV-PG,PG"
Harry Potter and the Goblet of Fire,PG-13
Spectre,PG-13
The Battle at Lake Changjin,
Spider-Man 3,"TV-PG,TV-14,PG-13"
Spider-Man: Homecoming,"TV-14,TV-PG,PG-13"
Ice Age: Dawn of the Dinosaurs,"TV-G,TV-PG,PG"
The Lord of the Rings: The Fellowship of the Ring,"PG-13,PG-13"
Bohemian Rhapsody,PG-13
Shrek 2,"TV-G,TV-PG,TV-PG,PG"
Harry Potter and the Half-Blood Prince,PG
Harry Potter and the Order of the Phoenix,PG-13
The Lord of the Rings: The Two Towers,"PG-13,PG-13,PG-13"
The Hobbit: The Desolation of Smaug,"PG-13,PG-13"
Finding Nemo,"TV-Y7,TV-PG,TV-G,G"
Pirates of the Caribbean: At World's End,PG-13
The Hobbit: The Battle of the Five Armies,"PG-13,R"
Jumanji: Welcome to the Jungle,PG-13
Despicable Me 2,"TV-PG,PG,TV-G"
The Jungle Book,PG
Harry Potter and the Deathly Hallows: Part 1,PG-13
Harry Potter and the Sorcerer's Stone,"TV-PG,PG,PG"
The Hobbit: An Unexpected Journey,"PG-13,PG-13"
The Dark Knight,"TV-14,PG-13"
Zootopia,"TV-G,TV-PG,PG"
Alice in Wonderland,"TV-PG,PG"
Star Wars: Episode I - The Phantom Menace,"TV-PG,PG"
Finding Dory,"TV-G,PG"
Jurassic Park,"PG-13,TV-PG"
Despicable Me 3,"TV-G,TV-PG,PG"
Aladdin,PG
Pirates of the Caribbean: On Stranger Tides,PG-13
Rogue One: A Star Wars Story,PG-13
The Lion King,"TV-PG,G,G"
Pirates of the Caribbean: Dead Man's Chest,PG-13
Toy Story 3,G
Toy Story 4,"TV-PG,G"
Star Wars: Episode IX - The Rise of Skywalker,PG-13
Joker,R
Skyfall,PG-13
Captain Marvel,PG-13
Spider-Man: Far from Home,"TV-14,PG-13,PG-13"
The Lord of the Rings: The Return of the King,"PG-13,PG-13"
Transformers: Age of Extinction,PG-13
The Dark Knight Rises,"TV-14,PG-13"
Transformers: Dark of the Moon,PG-13
Aquaman,PG-13
Iron Man 3,PG-13
The Fate of the Furious,PG-13
Incredibles 2,PG
Beauty and the Beast,"TV-PG,PG"
Minions,"TV-G,TV-PG,PG"
Frozen,"TV-PG,TV-G,PG"
Captain America: Civil War,PG-13
Star Wars: Episode VIII - The Last Jedi,PG-13
Harry Potter and the Deathly Hallows: Part 2,PG-13
Black Panther,PG-13
Jurassic World: Fallen Kingdom,PG-13
