Money,Count
246201308,3
246172043,16
246120986,1
246004097,2
245507817,2
245144417,1
245144417,1
244366406,4
244323729,3
244057547,4
243704424,3
243520828,14
243214205,4
243214205,4
243189046,5
242389238,2
242033028,2
241564280,5
241410788,5
241348161,7
240897068,4
240797623,1
240697856,1
240312422,7
240159255,1
240159255,1
240074244,3
239150429,4
239014086,4
239000000,1
239000000,1
238645532,2
238539198,1
238364971,12
238124936,8
236214446,1
235860116,1
235719605,3
234992341,7
234801895,1
234761251,11
234079740,9
233555708,1
233121187,4
232771783,8
232471439,4
232225908,1
231976425,1
231800711,2
231388207,7
231349578,2
230640086,3
230418342,1
229998492,7
229907751,8
229868785,11
229036375,4
228934825,13
228755332,6
228496557,11
228122928,1
227987501,3
227817248,1
227091290,1
226899483,19
226651574,6
226191008,8
225973340,1
225933435,1
225604262,3
225508210,1
225336536,3
224937594,3
224656311,2
223855849,15
223853736,1
223292562,3
223052384,7
222982474,7
222724172,1
222667878,2
222446882,1
222387767,2
222104681,1
222104681,1
222104681,1
222029788,3
221894639,2
221891942,3
220673217,1
219289807,2
219167414,5
218340595,1
218122627,1
217685166,2
217569323,12
217409246,4
216709865,3
216639112,1
215862692,1
215843760,3
215663859,1
215515705,10
214655507,10
214651630,17
213816334,6
213724273,7
213525736,1
213216216,1
212902372,1
211989043,1
211787511,1
210858814,2
210728721,5
210636272,3
210491503,2
209569892,5
209426404,4
209326253,7
209085165,3
209067283,3
209035668,1
208450480,2
208314186,1
208098090,2
207964459,4
207697385,25
207515725,1
207515725,1
207305509,1
206727689,4
206273156,6
205770034,27
205646799,7
205642511,5
205066570,2
204681899,1
204485975,4
204292497,2
204183860,25
203802872,6
203783845,1
203567857,1
203533763,2
203427584,1
203360819,2
203124933,7
203072839,13
202297479,7
202292902,1
202290092,3
202155190,3
202010765,2
201965915,1
201858461,1
200480350,10
200433225,7
199042830,15
198653677,4
198467168,1
198326350,1
198326350,1
198185890,4
198178615,2
198087212,1
197955438,2
197744377,1
197642159,2
196663181,2
196474454,9
195794428,2
195745823,1
194982384,2
194093007,2
193948709,4
193932489,1
193772504,1
193678298,1
193678298,1
192065513,3
190809827,16
190529869,3
190528728,12
190096683,3
190079418,2
189868165,4
189405667,2
189396380,1
189396380,1
189017596,1
188391383,3
188284175,4
188196236,4
187775893,8
187743408,2
187661311,4
187281115,1
186900876,9
186620439,5
186012663,7
185991646,1
185759768,4
185748152,3
185523393,9
185400345,1
185140411,4
185016466,9
184738261,3
184370667,4
184082328,2
183611771,1
183611771,1
183094503,3
183018522,1
182291969,1
182290266,1
182206924,1
182206924,1
181406846,8
181306370,2
180631944,8
180630907,1
180622424,1
180594993,3
180436205,2
180289970,1
180289970,1
180281308,3
179730698,11
179705733,3
179618128,17
179604126,2
179379533,1
179179718,1
178866158,1
178587014,4
178562466,4
178311729,1
178262620,1
177856751,1
177502387,1
177502387,1
177492488,2
177395557,1
177313795,1
177238796,1
177190198,2
176600207,1
176558982,2
176345966,1
175841266,3
175822391,2
175195518,7
175195518,7
174804407,1
174759070,4
174719070,5
174028204,1
174028204,1
173965010,1
173884652,3
173865236,2
173839072,1
173572781,2
173493400,5
173031616,2
173029998,2
172489078,2
172394180,1
172178540,2
172025508,3
171567425,2
171120329,1
170877469,6
170512194,2
170268750,1
169876283,2
169727433,19
169475076,2
169472415,3
169257428,3
169250212,4
169162841,4
168839459,1
168702766,2
168319243,1
167698687,3
167468287,3
167270639,4
166799048,14
166721408,4
166437725,7
165909160,2
165615285,1
165335153,1
165184237,1
164983980,17
164890581,2
164648142,1
164433867,1
164346653,15
163794509,1
163644662,1
163555583,3
163345367,7
162496343,12
162242684,1
162226551,7
162216000,3
161563226,6
160846332,1
160815740,2
160691482,4
160638883,1
160112671,1
159659687,5
159649324,8
159527055,3
159429071,2
159197038,1
159073682,2
158762963,1
158225671,2
158046261,5
157540900,5
157465763,5
157184079,5
157029618,1
157029618,1
156480177,1
156447539,2
156078681,5
155545279,1
155048523,2
154802912,1
154802912,1
154649125,1
154064855,4
153931340,8
153791945,2
153569872,3
152699976,1
152662008,5
152388279,2
152332577,3
152112199,6
151783839,1
151572634,1
151473530,3
151361313,3
150700514,7
150680864,1
150487198,11
150463935,4
150387740,3
150284469,3
150027854,2
149958172,8
149896817,4
149878437,1
149705852,1
149629784,2
149542245,1
148900262,5
148868835,1
148794982,13
148660466,3
147913139,4
147880543,1
147748505,1
146537224,5
146428180,1
